#{"t_start": 1734961243.125679, "env_id": "Walker2d-v4"}
r,l,t
-77.731864,36,0.670794
-39.066415,10,0.676112
-33.920627,15,0.683671
-17.209369,27,0.697505
-40.159848,11,0.703198
-42.584682,16,0.711267
-27.431347,24,0.723207
-76.760546,26,0.736708
-34.162361,10,0.742563
-38.285185,17,0.75168
-51.009251,35,0.769717
-53.858292,17,0.778327
-23.9894,27,0.792299
-45.788264,22,0.804425
-30.016214,12,0.811014
-30.050235,13,0.817838
-33.85055,23,0.829375
-38.477968,19,0.838992
-53.6784,28,0.854394
-57.580252,19,0.864343
-44.136441,23,0.875983
-5.472363,20,0.885804
-70.176178,27,0.899897
-32.269778,11,0.905452
-45.196671,18,0.915881
-21.856714,12,0.922594
-26.595259,16,0.930824
-32.442503,15,0.93841
-16.836175,17,0.947164
-48.86876,19,0.958308
-50.28331,35,0.976477
-36.303765,19,0.986001
-40.844766,18,0.995229
-45.474239,18,1.0041
-32.581716,10,1.009199
-71.853892,32,1.024951
-55.788704,20,1.034935
-61.745971,16,1.043087
-42.275726,18,1.05195
-88.54153,41,1.074177
-17.738631,9,1.079558
-20.063136,14,1.087327
-30.471734,13,1.094865
-38.366885,31,1.112338
-30.769016,11,1.118316
-35.081825,11,1.124342
-39.973918,16,1.132309
-66.83209,19,1.141723
-46.96391,15,1.14923
-27.064855,14,1.156134
-22.057659,12,1.163026
-67.561953,34,1.180585
-57.549177,17,2.119941
-27.641999,25,2.133725
-33.509806,16,2.142013
-12.384871,24,2.154308
-15.516897,19,2.164365
-44.526574,13,2.171315
-34.212441,30,2.187146
-65.777253,21,2.198208
-71.484356,64,2.233618
-30.335589,15,2.241562
-36.435406,16,2.250123
-20.232512,12,2.256376
-33.011842,20,2.267003
-29.746649,20,2.277593
-23.058919,18,2.287234
-47.138709,15,2.296539
-25.462653,31,2.320178
-26.875432,8,2.325182
-34.423898,20,2.338177
4.612529,40,2.360776
-17.106132,10,2.365824
-57.06077,31,2.381627
-19.709736,21,2.392112
-52.457059,21,2.402596
-50.99405,31,2.41884
-31.200684,26,2.432734
-18.343293,9,2.437238
-38.819228,15,2.445657
-32.741824,12,2.451792
-62.233778,21,2.462542
-25.616373,9,2.466995
-24.290978,15,2.474564
-69.802838,26,2.487439
-26.278554,11,2.49307
-56.61857,32,2.509138
-31.501084,22,2.519997
-22.227439,20,2.531201
-65.806898,38,2.551113
-22.922256,30,2.566693
-35.566159,14,2.573575
-21.211788,13,2.580207
-22.925442,21,2.590832
-17.924468,11,2.596659
-23.763727,9,2.601117
-10.886425,21,2.61159
-61.923048,27,2.625066
-15.41151,12,2.63186
-31.397019,12,2.638318
-16.483404,15,2.646442
-19.987047,10,2.651506
-52.535727,15,2.659136
-20.211643,12,2.665234
-19.38642,13,3.554834
-34.89597,30,3.570772
-11.451903,14,3.580862
-21.219517,31,3.598886
-10.24366,20,3.609584
-52.114774,42,3.631995
-52.633809,38,3.651949
18.902899,56,3.68189
-14.187545,59,3.713872
41.257601,57,3.743852
-10.879372,38,3.763311
-22.078045,19,3.772863
-26.073407,24,3.785706
-16.037841,17,3.795054
3.773935,42,3.816197
-20.045634,24,3.828125
-0.271019,53,3.85485
-22.824935,14,3.86187
-20.164141,10,3.866789
-22.079576,15,3.874162
-12.890866,28,3.888128
-21.772292,10,3.894067
-70.819915,36,3.91291
-57.193204,45,3.935499
-3.066947,44,3.957595
-26.48638,100,4.008722
-24.884592,15,4.01682
-48.190104,42,4.038113
-20.99793,11,4.043814
-22.209267,10,4.048945
12.050636,41,4.069798
-16.640794,32,4.96275
72.185285,81,5.005666
-13.192055,55,5.035119
1.154805,37,5.055499
-36.076011,28,5.071173
-11.51561,15,5.079346
-27.990043,24,5.092456
-22.871252,24,5.105171
-22.526135,51,5.131965
4.43059,30,5.147783
-18.308959,10,5.153131
-6.928279,46,5.178064
-14.441156,24,5.190021
-24.007583,41,5.211007
-32.935277,36,5.229134
21.18208,43,5.250944
-19.799606,12,5.257934
-22.505554,12,5.265137
-5.01901,27,5.279858
-16.878993,11,5.285439
-18.243932,51,5.311425
39.360208,63,5.343224
-9.293388,73,5.381078
24.202267,49,5.406016
14.099525,102,5.457348
-28.954621,24,5.469306
-24.317718,38,5.48974
-10.805006,21,6.387883
-8.975554,34,6.405815
34.602038,75,6.466228
26.180088,54,6.49515
482.770452,210,6.607329
-12.52242,27,6.620938
18.683017,47,6.646498
-9.563904,29,6.660856
113.586802,71,6.698672
-12.36781,20,6.708991
64.632579,88,6.754607
16.209078,50,6.780212
36.180704,60,6.810565
-19.458582,12,6.81663
2.808279,51,6.842845
10.897998,69,6.998508
25.882941,66,7.060245
-1.542059,55,8.05529
509.562106,216,8.171619
15.302342,56,8.202098
599.844127,228,8.321612
436.132899,178,8.411976
374.995536,134,8.479771
16.008021,56,8.508108
-9.489945,96,8.557781
536.271034,241,9.625981
12.329332,65,9.663967
-21.184641,176,9.757202
496.678152,194,9.85648
511.567476,183,9.949945
553.292462,188,10.045374
646.054198,260,11.067278
482.025088,190,11.174162
521.093574,238,11.295139
361.065358,113,11.351965
541.105761,241,11.476113
-49.165991,154,12.460717
452.274751,153,12.545513
724.450808,453,12.779572
428.593703,172,12.869193
