#{"t_start": 1734961243.145271, "env_id": "Walker2d-v4"}
r,l,t
-43.75142,35,0.650697
-53.055176,18,0.660058
-29.62114,15,0.667714
-23.159379,12,0.6739
-4.690739,32,0.690128
-24.839945,10,0.695123
-53.651591,23,0.707025
-29.377506,12,0.713112
-24.073215,13,0.719588
-38.552237,18,0.730029
-42.423533,13,0.736804
-18.382131,12,0.742998
-14.397245,14,0.750179
-55.87777,32,0.766499
-55.104536,29,0.781509
-43.178866,28,0.79722
-45.977065,16,0.805245
-48.861032,34,0.822466
-54.22462,23,0.835401
-64.134826,33,0.852156
-53.796885,39,0.87204
-48.919596,19,0.881732
-40.064438,19,0.892558
-34.566471,12,0.89877
-52.752523,14,0.906651
-19.319818,9,0.911204
-40.281581,16,0.919267
-55.153646,22,0.931462
-25.23729,13,0.938839
-30.988902,13,0.94573
-48.406772,17,0.954335
-34.812098,10,0.959395
-40.219933,43,0.981071
-33.376231,14,0.988137
-13.206748,16,0.995976
-46.933807,27,1.009406
-39.05233,14,1.016368
-34.166334,13,1.02296
-63.047333,16,1.030805
-31.65561,19,1.041261
-24.644067,15,1.049043
-53.702281,25,1.063325
-21.23061,15,1.071771
-42.844864,20,1.08315
-24.956263,11,1.089313
-54.332842,24,1.102722
-63.74066,45,1.125068
-22.709582,15,1.13255
-20.112993,15,1.140868
-32.671064,11,1.146512
-51.148838,15,1.154359
-54.725602,21,1.164888
-32.699072,13,2.102601
-31.25476,18,2.112585
-81.874959,41,2.13373
-15.938397,26,2.147516
-41.900183,29,2.162686
-33.411197,25,2.176035
-18.968023,7,2.179554
-17.066345,28,2.195431
-28.875158,18,2.205268
-48.72049,31,2.221904
-76.049374,52,2.249456
-1.053868,33,2.267007
-44.806038,15,2.276203
-17.978736,30,2.299148
-38.07643,26,2.315984
-27.823114,19,2.327881
-40.43399,19,2.338077
-14.258055,14,2.34525
-42.321109,32,2.361436
-48.546206,37,2.380131
-14.863643,13,2.386476
-24.136041,19,2.396869
-40.125936,21,2.40782
-23.846539,13,2.414618
-33.251623,38,2.434645
-21.267535,9,2.439325
-74.831451,38,2.458555
-13.275804,30,2.473432
26.971039,58,2.503462
-2.398598,28,2.517566
-15.382485,19,2.527902
-44.924514,21,2.538589
-26.236059,16,2.547104
-36.966025,29,2.561608
-20.891304,12,2.567761
-32.852115,26,2.581013
-19.993241,8,2.585053
-28.053531,16,2.593057
-26.512484,14,2.600057
-15.71067,17,2.609263
-32.088648,22,2.62083
-69.178674,54,3.53117
-42.29618,43,3.55553
-23.03931,20,3.568587
-17.455578,17,3.578313
-1.069022,54,3.607074
5.21785,47,3.631826
-26.893763,12,3.637941
-17.046886,16,3.646397
-26.311705,12,3.652666
-15.867421,18,3.662935
-18.424385,26,3.67744
2.465006,37,3.696905
-15.975262,20,3.707433
-47.270778,27,3.721608
-87.870163,52,3.74816
-42.247233,25,3.760817
-2.501689,39,3.781969
-6.639203,22,3.793014
-18.880719,32,3.809084
-13.623861,26,3.822239
-21.010549,15,3.829811
-17.329584,22,3.840752
-26.252423,18,3.849613
-21.488583,23,3.861003
-25.106836,64,3.894842
-22.780647,39,3.914408
-4.905605,16,3.922343
-18.896819,13,3.928858
-15.344004,21,3.939575
-64.862584,49,3.963891
-17.134463,36,3.98286
-14.742483,17,3.992119
-27.917198,9,3.996716
-8.495792,17,4.00518
-20.105998,19,4.015052
-7.213647,44,4.037567
-14.67743,49,4.062219
1.877043,82,4.982312
-22.829726,20,4.992952
38.925021,53,5.02118
-13.89294,26,5.035943
-16.012023,12,5.04247
239.397236,137,5.116102
7.469986,40,5.137259
-7.905391,56,5.167
-15.377963,13,5.173678
-11.988514,17,5.182155
-14.295928,40,5.202488
-27.148072,9,5.20711
72.751579,83,5.251476
-77.36401,68,5.286599
-14.099671,14,5.293914
-14.331265,29,5.30873
14.275398,51,5.334063
-17.372189,15,5.341561
-19.306395,19,5.351903
-18.280683,16,5.36045
-24.055541,11,5.366116
1.676517,48,5.390386
-24.326501,12,5.396615
-17.097803,21,5.407246
-4.743746,29,5.421716
-15.734093,18,5.430917
23.391758,46,5.45377
-11.468407,24,5.466853
53.015433,75,6.394178
454.416885,178,6.509759
-17.038952,18,6.519518
-7.096512,18,6.529477
-41.931177,62,6.562727
51.838217,104,6.616671
-5.490782,64,6.650228
-16.151254,19,6.660622
-14.038709,14,6.667802
-10.493218,26,6.681188
-7.094277,23,6.692885
-26.427974,23,6.704468
-15.433529,83,6.747929
-65.946908,114,6.805573
1.622035,51,6.832215
10.805147,49,6.857182
-14.383796,17,6.991491
148.69492,243,8.109643
10.288203,42,8.131991
589.87711,254,8.26643
14.104844,62,8.298924
340.828694,130,8.364357
175.662893,216,8.474432
642.170648,356,9.601687
364.716027,154,9.688734
319.883274,143,9.761336
368.559936,124,9.825304
569.396863,230,9.942248
443.743107,141,10.014334
438.900963,142,10.970975
438.248904,144,11.049498
448.411674,194,11.158156
448.126834,172,11.24579
336.698109,180,11.33634
-169.199891,198,11.437469
465.17903,165,12.428153
552.806701,200,12.537975
647.276013,379,12.734638
472.806273,227,12.851638
396.209009,145,13.817394
562.542889,206,13.928977
468.60664,161,14.015328
381.970909,125,14.079332
550.482482,207,14.185223
457.243897,158,14.360543
611.02319,258,15.373372
496.551926,174,15.468973
465.96034,194,15.570148
452.509702,223,15.684772
468.851238,166,15.772596
477.389282,188,16.815772
364.939172,121,16.883513
405.321389,128,16.955603
-81.362638,122,17.018768
427.621871,133,17.087787
529.703713,187,17.195871
449.530315,160,17.278176
437.533175,156,18.297082
422.359955,139,18.373371
411.956806,133,18.447113
463.835597,172,18.537536
544.660194,176,18.628218
550.150254,293,18.777917
279.887356,88,19.735678
567.237944,237,19.86626
474.21454,165,19.954361
432.564414,152,20.033797
508.316486,192,20.132756
454.649053,183,20.226424
452.636801,141,21.225338
604.939232,214,21.342441
468.646601,150,21.422672
344.923895,111,21.480489
-61.818736,146,21.650755
-29.126257,191,21.749724
490.11892,181,22.734829
484.347817,158,22.819814
458.030712,133,22.892973
566.831162,205,22.997769
605.791826,239,23.118998
489.427965,188,23.216139
589.398405,188,24.217495
491.622448,151,24.299262
562.398331,183,24.39493
592.846406,188,24.490826
472.72126,172,24.578659
465.922705,138,24.649794
433.685867,124,25.595211
570.867334,195,25.701196
563.344657,186,25.801773
537.027439,176,25.892648
603.042573,221,26.005541
437.507777,130,26.070667
572.84398,192,27.072051
562.670248,176,27.167496
558.350624,173,27.257552
562.689587,183,27.352037
459.850115,135,27.42129
541.521834,183,27.520691
606.183693,187,28.49985
434.628949,131,28.571674
643.82514,190,28.67184
548.323303,191,28.895133
441.27328,136,28.966435
566.291209,173,29.080685
522.858064,210,30.161675
552.869135,171,30.256159
658.50572,237,30.378678
639.09163,193,30.47725
566.144739,155,30.557228
545.560142,170,31.537566
445.577825,130,31.608754
660.992118,227,31.730085
566.7238,194,31.828972
571.334429,173,31.920533
611.827192,219,32.03383
701.917165,382,33.132662
566.130916,173,33.222328
562.249018,186,33.31723
665.259274,212,33.4253
613.41451,180,34.412697
635.825718,207,34.524882
409.560049,115,34.586092
-1.310593,201,34.688768
498.064866,137,34.75961
592.717086,184,34.854077
531.987919,155,35.81649
667.996161,190,35.920715
523.761895,144,35.999227
550.2112,179,36.203215
501.442041,149,36.277815
485.744441,149,36.35437
741.472986,262,37.427407
706.414455,257,37.569187
648.181627,178,37.67023
506.808891,191,37.768778
606.053359,175,37.857492
599.237236,179,38.834067
696.743664,188,38.936513
524.104832,161,39.051871
613.237732,213,39.161615
640.613199,180,39.255108
597.615262,189,39.351926
566.437237,176,40.337831
664.822061,260,40.477214
658.504715,215,40.588183
448.706735,131,40.655829
676.589407,233,40.775234
581.858885,163,41.753972
650.223526,188,41.856126
699.205824,255,41.992316
590.932829,171,42.080218
589.152211,170,42.166296
646.745307,187,43.176111
499.985278,144,43.25458
482.000109,132,43.418793
620.980263,187,43.515744
400.630869,122,43.578754
553.403505,171,43.666596
595.509251,189,43.76339
587.451459,171,44.742769
534.723171,152,44.825138
590.751315,154,44.904749
571.573563,158,44.985845
501.219143,141,45.05756
727.745794,203,45.192923
415.057599,116,46.148518
559.341111,165,46.238783
607.528801,166,46.327849
625.763393,204,46.446498
645.967157,197,46.548752
679.264938,189,46.645114
626.493951,180,47.627263
580.045806,162,47.727477
581.518679,162,47.813214
626.462433,185,47.90743
588.372069,169,47.993967
617.107593,175,48.085169
590.723144,161,49.073758
763.518136,235,49.200674
645.337967,185,49.294888
563.563206,154,49.373081
557.481304,149,49.448774
541.211793,153,49.525321
609.152565,151,50.504486
537.296971,143,50.67465
562.458766,148,50.755226
431.914365,122,50.818032
600.600704,177,50.906494
538.883041,146,50.981248
553.127758,143,51.054422
624.377554,171,52.038818
650.962278,166,52.130386
669.078846,210,52.238307
676.903122,172,52.326235
557.967851,151,52.41201
664.265777,181,53.409195
629.903736,164,53.497686
603.694278,154,53.581307
569.54188,153,53.66044
591.095219,159,53.740533
701.146977,219,53.8518
508.613695,142,53.924573
585.623566,151,54.934041
803.290137,196,55.039577
490.854853,140,55.111658
519.31711,141,55.183966
496.246267,136,55.254038
772.965048,208,55.359614
497.421405,139,56.337486
591.693403,153,56.426839
639.98317,158,56.521781
638.8283,177,56.611563
638.150233,184,56.704748
567.120309,141,56.77661
588.062191,148,56.851799
700.062907,166,57.949954
654.220404,182,58.043779
678.947703,176,58.134757
574.421914,148,58.212004
666.116876,162,58.292844
524.25817,149,58.369437
720.968419,163,59.396047
562.414545,146,59.474472
683.781457,182,59.569392
576.271044,147,59.644089
524.228677,137,59.713564
776.705874,190,59.810002
650.497452,380,60.908698
670.105494,181,61.005298
675.928523,186,61.101475
758.672976,177,61.194674
529.716842,133,61.262572
662.795039,170,62.248598
540.252352,139,62.324649
661.392496,178,62.419406
657.414546,169,62.504617
498.069723,136,62.573739
568.856968,151,62.650992
598.529375,159,63.786673
577.19605,143,63.863033
711.823691,168,63.952887
531.858801,145,64.029121
719.709374,186,64.123356
571.857802,147,64.199172
559.842099,144,64.272596
897.876004,215,65.379304
680.289285,175,65.473725
564.773506,138,65.545955
617.691589,149,65.620002
663.067621,161,65.701123
946.199151,207,65.805828
619.426449,163,66.844086
612.970716,162,66.931486
857.355041,197,67.034462
600.539539,150,67.10882
711.961706,173,67.207554
841.980249,194,67.306059
735.986061,239,68.351404
934.878961,223,68.469694
930.64729,215,68.578042
708.857928,173,68.666031
697.564805,187,68.760497
755.410755,181,69.786557
687.21738,169,69.876955
594.993716,156,69.956296
789.190595,192,70.052362
692.468025,170,70.139036
644.066548,153,70.216984
656.790257,158,71.365184
673.578398,179,71.490982
592.271312,149,71.574681
819.151134,199,71.685232
601.522228,154,71.762858
765.583247,210,71.988693
618.049871,159,72.982441
660.562847,170,73.074636
731.727289,181,73.167071
720.386283,172,73.252697
734.188095,181,73.344294
630.812134,160,73.425552
824.514306,183,74.416663
582.169478,146,74.49423
923.463097,215,74.603846
631.977956,159,74.684731
863.030703,216,74.792965
956.291096,227,75.807389
686.230294,185,75.9065
550.428603,144,75.98073
719.077976,171,76.067621
942.001535,231,76.18907
931.39153,227,77.232438
1171.652234,270,77.376568
659.68749,157,77.456694
639.398175,152,77.533902
589.321761,139,77.604907
643.229443,165,77.688892
856.133169,206,78.707594
595.855674,148,78.787139
780.514438,179,78.879827
677.164527,160,78.960382
647.889852,158,79.223501
713.357369,183,79.317597
835.197709,189,80.308617
1107.775812,254,80.448117
823.685063,185,80.541346
1019.792595,222,80.653625
498.849825,131,80.719232
1254.304248,260,81.78573
928.266289,218,81.900532
1015.984524,221,82.013649
874.466859,198,82.113099
521.4833,136,82.182545
560.318929,138,83.164972
1118.57728,249,83.299892
798.082184,192,83.4001
550.407263,138,83.468886
694.25234,170,83.555226
830.240939,195,83.653831
878.727861,196,84.646412
949.922367,216,84.762877
1212.47865,280,84.905126
871.426745,209,85.01066
1307.884194,291,86.049904
912.594847,213,86.171367
978.831932,223,86.285021
975.868811,214,86.616197
644.502345,147,86.692138
841.007702,200,87.684078
885.030435,192,87.78588
691.709983,169,87.874536
1048.781453,229,87.989378
1195.759257,257,88.129579
593.889998,149,89.135321
865.814083,188,89.238704
566.494695,141,89.316024
546.409863,136,89.383925
980.807917,209,89.489492
549.112186,139,89.560914
511.242288,128,89.626356
1046.502827,240,90.684255
895.52129,244,90.812001
903.721836,212,90.919282
707.937569,167,91.003701
691.415251,172,91.090801
650.080385,155,92.076569
543.470393,136,92.14961
597.71785,148,92.225924
561.991064,140,92.298066
1008.334761,224,92.410806
816.413296,185,92.505866
994.390577,230,93.536618
947.025844,251,93.668874
1312.798903,273,94.00433
723.86724,173,94.092388
1413.794257,293,95.144187
1098.405299,249,95.279201
1089.0084,239,95.400172
1117.528996,240,95.52076
706.265864,161,96.533464
993.072114,218,96.651436
1159.576014,256,96.784416
773.998453,180,96.874936
1016.372217,227,96.989391
1075.695232,232,98.001393
811.297153,175,98.095847
1201.02449,259,98.276534
820.516642,184,98.369953
548.159263,134,98.438154
933.936859,212,99.491049
254.370918,75,99.531345
775.8739,176,99.626218
519.791425,128,99.692144
457.234612,121,99.753999
801.371826,182,99.845798
863.596272,190,99.942187
833.371545,192,100.943911
784.594842,175,101.037861
663.028798,157,101.513707
796.218691,183,101.607313
1128.014654,250,101.734067
512.112356,128,101.797466
747.567706,186,102.788873
924.047776,205,102.897785
839.377429,188,102.992603
581.567015,139,103.061573
876.771528,201,103.166729
1053.979759,223,104.246702
904.192255,197,104.352252
944.974984,202,104.456951
1188.584538,255,104.585973
553.236705,137,104.656649
645.725447,149,104.731287
856.234513,189,105.722515
911.134136,192,105.824807
1368.891496,297,105.97486
878.796188,192,106.072012
643.818113,156,106.155062
499.632767,127,107.140638
1008.348244,220,107.257817
1037.427473,213,107.366659
835.568451,192,107.46395
1044.58405,218,107.573502
1212.435318,254,108.643324
1128.031752,246,109.014633
538.250412,134,109.104273
1137.226578,244,109.229857
1339.624207,297,110.2977
465.206435,117,110.36067
2566.231644,554,110.644548
2764.559547,572,111.859873
1041.55631,220,111.973276
898.989484,201,112.07539
1113.632868,237,112.194055
1336.515779,288,113.241856
1048.501673,222,113.363736
688.041147,165,113.448619
1022.310756,214,113.556911
1316.602494,280,114.588861
818.95852,177,114.683975
1533.006375,330,114.85504
1101.198556,237,114.973733
742.324511,174,115.061168
911.273053,194,116.222998
789.193346,180,116.315237
1013.043643,216,116.424437
864.830504,191,116.53822
888.782925,187,116.633976
2002.494385,451,117.795661
1327.207057,276,117.935529
1139.976796,241,118.058245
1165.134628,245,119.156401
1296.917314,269,119.310425
922.181266,197,119.407355
1504.318127,294,119.553976
894.576178,197,120.556256
844.444313,188,120.656425
1349.096234,309,120.820545
1422.62252,295,120.969844
704.509209,157,121.049773
1603.179214,342,122.217826
1687.06523,340,122.385788
835.558001,186,122.477059
1262.551288,282,123.641108
808.676888,180,123.732433
833.2979,184,123.825603
1218.777791,248,123.950285
1368.938992,290,124.097992
876.060968,197,125.092364
814.485203,181,125.188739
911.870592,196,125.289652
721.076606,172,125.376753
656.739528,152,125.453607
1082.185332,233,126.486085
1235.502074,255,126.622118
1169.333656,240,126.774082
808.867408,179,126.866949
1599.550413,321,127.916505
1342.398546,275,128.062984
1205.544615,263,128.19835
925.327351,200,128.299174
2875.519831,572,129.546876
1136.531044,247,129.670978
1382.784954,281,129.811608
1080.458169,229,130.977682
740.001655,170,131.068333
1021.850376,208,131.182503
2654.288231,576,131.473042
1048.255559,229,132.488161
2526.214282,482,132.735327
1034.005763,214,132.843084
1644.706997,345,133.925397
1042.579781,220,134.040447
1887.071802,387,134.235257
1151.975175,242,135.257946
1422.077927,297,135.419195
1164.218975,240,135.540149
1411.608713,295,135.689848
2791.242173,629,136.972743
2822.029701,582,138.706093
2077.861002,451,138.945683
1129.833363,230,139.089095
984.040039,225,139.202545
1957.202977,380,140.294695
1095.88797,229,140.412373
1465.51645,322,140.573826
1019.394432,207,141.638206
1173.003665,285,141.791447
1017.201538,215,141.901762
2057.366377,418,142.113142
2325.773302,480,143.256229
2243.514813,450,143.482969
1092.485777,218,144.486218
2481.235307,480,144.738223
2495.160363,510,146.234349
