#{"t_start": 1734961243.125679, "env_id": "Walker2d-v4"}
r,l,t
524.31934,200,21.50058
550.225534,256,21.728226
508.508201,178,21.822457
457.299617,187,22.810326
610.32586,203,22.920987
492.678067,173,23.009129
387.067832,125,23.073493
582.977335,174,23.161891
349.868284,109,23.21807
446.243517,131,24.185985
482.357273,139,24.262394
-6.915301,30,24.278731
510.597371,180,24.376166
611.206023,242,24.498836
583.21088,196,24.598743
400.252173,129,24.665298
569.811268,170,25.634915
491.379018,159,25.721773
522.98282,165,25.810219
389.164057,129,25.877748
512.465821,167,25.963479
527.916886,169,26.049757
585.854911,190,27.046121
593.060719,204,27.156291
630.099686,187,27.255475
606.536957,186,27.352584
566.002348,226,27.467838
493.105756,148,27.551602
535.081186,172,28.520944
621.613568,191,28.624546
614.060366,253,28.881884
622.208702,194,28.98201
526.197724,166,29.092986
520.965778,163,30.148947
568.920867,184,30.249744
514.034976,175,30.343063
495.544902,149,30.417822
641.874219,254,30.548871
475.938194,144,30.621719
659.328885,182,31.612756
506.465267,162,31.700601
618.359135,182,31.794545
506.600999,144,31.867702
676.779188,217,31.981917
647.607714,238,33.000901
524.27328,184,33.101155
683.111169,204,33.208349
443.49027,130,33.275096
663.520997,234,33.394436
518.518301,158,33.474128
671.836385,212,34.480548
533.960435,149,34.561968
681.121995,306,34.719441
534.429885,151,34.797031
601.850503,161,34.880222
568.511696,182,35.857452
602.328328,208,35.971552
581.908866,167,36.171177
567.994634,162,36.255171
498.569543,160,36.336562
672.14846,233,36.470467
564.951738,158,37.47919
517.133466,145,37.556536
652.363893,197,37.669208
493.408718,149,37.747193
596.299349,172,37.835352
556.420281,173,37.925078
588.744762,177,38.900512
562.480415,165,38.995866
564.602752,153,39.100283
584.639234,179,39.192833
580.314252,197,39.29484
704.062872,229,40.304763
713.800894,266,40.449802
573.085242,157,40.53248
484.925798,142,40.604594
495.850581,129,40.671321
593.096047,184,40.76594
660.916065,218,41.772459
601.816553,190,41.875622
560.520931,155,41.957993
547.233368,163,42.044454
652.116555,366,42.231979
553.011183,180,43.238997
537.1259,147,43.318691
522.311003,151,43.491991
446.81354,131,43.558648
541.5576,161,43.641679
501.015514,141,43.714696
588.633244,165,44.687316
545.987754,156,44.771443
469.995338,137,44.845883
460.850383,127,44.91178
663.78871,184,45.005877
597.541771,159,45.086705
398.670997,127,45.151107
492.442164,139,46.15011
550.684851,147,46.230621
622.213362,170,46.322619
541.061283,157,46.402117
581.890024,192,46.516963
477.07606,140,46.588463
566.69125,159,46.669616
604.852087,168,47.645787
489.673349,132,47.729822
504.721814,151,47.810405
617.084466,165,47.895322
580.312163,175,47.983187
491.175593,133,48.052298
518.157736,136,48.123499
616.835002,163,49.113671
638.291725,188,49.216173
592.003269,149,49.292461
422.922333,112,49.348166
622.392187,184,49.441388
615.769064,174,49.530136
609.329066,199,50.534183
602.944007,214,50.743585
620.044733,164,50.828264
509.92602,148,50.903276
485.653452,145,50.977061
608.955305,150,51.053643
489.693305,150,52.025639
659.648614,172,52.121096
488.781102,139,52.193963
507.595457,143,52.266393
582.724591,157,52.346806
593.374068,154,52.434101
653.11752,171,52.520713
506.340635,137,53.500275
659.288114,177,53.595986
481.697948,130,53.662692
656.888443,191,53.760086
560.276786,138,53.830799
674.777498,216,53.940621
677.587951,172,54.961158
499.740771,141,55.035873
554.764673,145,55.113466
632.561046,160,55.19489
712.6563,189,55.291791
420.525255,115,55.349176
591.726258,155,56.335579
647.891344,188,56.439479
692.605942,179,56.5491
586.825488,148,56.623183
659.869212,186,56.718136
469.726797,132,56.785768
581.984711,162,56.867833
824.844454,200,57.983398
637.009829,167,58.069362
590.477931,153,58.148036
669.968147,168,58.236156
693.146854,196,58.335791
704.925058,173,59.362556
604.497393,159,59.448422
632.646302,173,59.54162
492.755479,132,59.609251
683.30448,162,59.691692
513.631178,157,59.770587
619.60956,163,59.853314
494.001391,134,60.818718
780.085416,303,60.986637
480.081805,128,61.05167
492.020022,131,61.119246
631.012472,158,61.203074
911.945765,248,62.227173
684.293478,171,62.319978
556.738608,139,62.393965
621.766299,160,62.4768
695.037093,171,62.564085
548.732819,152,62.64147
509.021719,138,62.710661
612.620341,155,63.84677
567.324739,144,63.925072
571.668763,157,64.009136
613.490252,167,64.093764
795.635812,250,64.221977
701.620628,168,64.406354
645.112727,154,65.382308
812.235505,179,65.478375
740.625532,183,65.574834
744.320094,181,65.663966
846.589624,205,65.767394
571.374937,150,65.843675
694.867357,175,66.889721
801.646542,213,67.004259
624.604948,162,67.086468
746.227309,181,67.177879
724.438152,177,67.27878
666.409081,169,68.282384
757.630833,170,68.374266
