#{"t_start": 1734961243.1452658, "env_id": "Walker2d-v4"}
r,l,t
-37.267685,19,0.641875
-50.359977,26,0.656018
-22.281204,14,0.663086
-52.491094,17,0.671867
-58.275345,22,0.683072
-25.779271,11,0.688515
-53.689208,19,0.698083
-40.551757,13,0.704889
-46.190416,26,0.71805
-56.79851,32,0.735797
-57.315202,29,0.750705
-79.147768,24,0.76262
-59.3596,20,0.773283
-24.991041,27,0.788204
-32.94721,18,0.797785
-90.831466,40,0.817775
-10.806278,20,0.828866
-18.182182,46,0.852735
-28.319445,32,0.868909
-17.970024,11,0.874556
-40.061046,23,0.886385
-26.753498,14,0.894684
-23.183471,12,0.900767
-25.589032,11,0.907101
-43.056388,16,0.915331
-18.860496,28,0.93041
-65.882838,37,0.950244
-35.555855,16,0.958429
-46.991335,18,0.967413
-22.992831,13,0.974179
-58.420141,25,0.986622
-56.170753,25,0.998996
-37.06199,21,1.009449
-26.857092,11,1.014784
-24.109486,21,1.02544
-25.067815,11,1.030825
-63.190652,27,1.045543
-12.242528,16,1.054008
-50.88938,22,1.06663
-23.897334,10,1.072382
-50.525572,34,1.091578
-22.875053,15,1.099909
-49.089627,18,1.109153
-30.986562,16,1.117104
-48.356392,35,1.134487
-51.21978,42,1.157029
-32.31763,16,1.164861
-49.479601,15,2.1038
-3.045223,34,2.121876
-24.864751,18,2.13109
-37.774405,26,2.14464
-31.895061,15,2.152743
-16.630502,21,2.163734
-66.717681,46,2.188827
-15.156384,17,2.19827
-23.766704,9,2.203115
-92.295023,42,2.225744
-63.619855,50,2.252185
-21.574338,20,2.262647
-53.628028,33,2.28302
-12.225688,19,2.298364
-25.76358,21,2.312129
-20.540747,13,2.321355
-61.796408,32,2.338596
-25.860557,17,2.347357
-21.220702,10,2.352381
-32.937562,24,2.364561
-52.462463,30,2.379602
-19.659143,26,2.392411
-25.555778,20,2.403228
-29.751754,11,2.409489
-15.0902,15,2.417093
-191.949769,65,2.450913
-38.161463,19,2.460617
-40.013737,14,2.4674
-34.538669,22,2.478517
-8.681457,72,2.515622
-31.168305,14,2.522632
-55.469348,29,2.538072
-21.323665,13,2.544956
-33.626475,13,2.551434
-26.779765,24,2.563672
-20.221227,20,2.573865
-16.395367,20,2.583982
-17.379099,10,2.58914
-21.81329,19,2.598583
-50.621093,24,2.611286
-26.408354,11,2.617179
-45.245017,31,2.633528
-31.74676,10,2.638565
-24.964114,16,3.528523
-18.0616,15,3.537468
-15.184801,11,3.54325
-47.546239,55,3.576637
-26.396025,23,3.588846
-17.169187,13,3.595798
-3.237719,87,3.641644
-1.792612,55,3.671934
-36.743716,48,3.697358
-100.997963,51,3.724132
