#{"t_start": 1734961243.063349, "env_id": "Walker2d-v4"}
r,l,t
-38.703109,23,0.726036
-58.323725,22,0.737906
-31.196589,16,0.745952
-53.538094,22,0.75729
-37.718068,19,0.767005
-37.383732,21,0.777562
-13.948957,25,0.790527
-55.170974,33,0.80792
-25.068952,12,0.814588
-30.612117,11,0.820194
-23.278273,13,0.827079
-27.489738,14,0.834094
-34.211103,13,0.840647
-44.489445,19,0.850543
-67.364859,25,0.863449
-29.969751,11,0.870168
-18.510029,20,0.880782
-66.166199,21,0.891191
-18.760408,10,0.896134
-26.672883,25,0.909834
-56.764311,23,0.922163
-18.221097,14,0.929047
-24.290059,13,0.935728
-41.062797,16,0.943723
-21.546078,11,0.949246
-24.320849,11,0.955027
-59.63685,20,0.965246
-58.725766,26,0.979682
-63.027866,27,0.994173
-39.151995,10,0.999285
-15.596785,15,1.006763
-29.671988,12,1.013989
-17.086185,14,1.021987
-23.750822,13,1.028701
-24.54173,10,1.033758
-44.467262,18,1.042903
-23.825157,8,1.046829
-35.309955,14,1.054049
-54.320681,24,1.065974
-52.464734,32,1.0819
-44.605065,14,1.088774
-69.606323,31,1.104399
-35.52292,33,1.12164
-45.864621,18,1.130993
-14.812044,37,1.152006
-18.381139,10,1.157885
-35.161427,23,1.170626
-9.458827,19,1.181175
-42.828153,23,1.193067
-56.370494,17,1.201553
-25.786399,20,1.211559
-24.512197,12,1.217453
-19.869853,9,1.222815
-46.324027,25,1.235793
-25.415738,10,1.240867
-39.002816,15,1.248359
-38.803863,22,2.191328
-4.388037,32,2.207878
-23.353061,24,2.220229
-16.990969,14,2.22779
-56.842457,27,2.242006
-11.177721,25,2.255259
-4.186074,26,2.268887
-37.891451,16,2.278687
-37.345387,15,2.286615
-38.858117,19,2.297024
-14.62571,25,2.310266
-27.701279,14,2.317652
-22.992021,13,2.324436
-25.426868,18,2.334084
-57.161577,23,2.346198
-33.173353,21,2.35871
-12.387235,42,2.389685
-16.044844,13,2.39796
-29.532221,14,2.407197
-28.062698,15,2.415379
-18.349271,16,2.423609
-44.944758,29,2.438445
-27.55511,22,2.4494
-21.003054,18,2.458458
-24.216172,15,2.465943
-34.81249,20,2.475842
-36.245007,19,2.48641
-17.045022,15,2.494594
-2.716244,31,2.511003
-7.107801,34,2.528347
-41.013122,47,2.551744
-40.676107,18,2.560991
-29.335346,11,2.566514
-49.377736,23,2.577893
-9.703417,20,2.588938
-29.738207,18,2.598076
-47.937,24,2.610903
-28.037062,20,2.621014
-22.180632,12,2.627458
-26.387029,20,2.637466
-25.610608,20,2.647651
-29.592503,20,2.657948
-35.171354,22,2.668954
-61.056936,38,2.687865
-52.221681,26,2.702246
-18.349239,19,2.712329
-44.228404,38,3.614389
-30.8696,18,3.624203
-23.324303,44,3.651126
-28.398983,24,3.664531
-61.666839,59,3.695875
-17.150646,19,3.705889
-18.634561,9,3.710485
-23.101498,22,3.722054
-18.600028,18,3.731475
-33.948127,22,3.743728
-14.429761,12,3.750593
-24.994363,11,3.756823
2.164879,25,3.76993
-40.626732,29,3.784993
-19.424416,13,3.791943
-31.297689,14,3.799319
-33.395219,17,3.808286
21.302173,61,3.839132
-18.228755,12,3.845354
-4.433043,24,3.858936
-35.587177,20,3.868855
-51.522069,33,3.885536
-37.808509,29,3.900072
14.444222,54,3.927194
-12.88133,28,3.94091
-45.4027,39,3.961736
-51.25918,39,3.981572
-27.080513,15,3.989285
-17.32867,21,3.999769
-17.170895,12,4.005821
-16.778696,18,4.014811
-8.397348,22,4.025987
-26.626636,20,4.035989
-13.945709,23,4.047362
-29.580279,29,4.062899
-16.283359,25,4.076105
-18.361582,15,4.083625
-15.116972,12,4.08986
-11.731637,89,4.135143
-38.280975,97,5.062677
6.033104,52,5.090543
-21.518094,46,5.114866
-9.970615,21,5.127466
-27.810406,44,5.151302
-37.304341,34,5.169552
-63.055623,36,5.188519
-6.824801,34,5.206493
-0.539918,33,5.224711
2.675043,28,5.239265
-33.11474,32,5.255573
-16.647535,11,5.261153
-23.651422,17,5.269645
-27.279774,21,5.280363
-2.164853,27,5.294018
-9.192853,29,5.308353
0.612392,31,5.326395
-38.252,108,5.382408
43.316922,56,5.410648
34.876299,75,5.449646
-9.752392,51,5.475447
32.373844,66,5.50886
-44.046705,35,5.526216
-24.684084,17,5.53469
-28.463853,51,6.449118
-15.526293,21,6.460362
-11.757523,16,6.46867
148.541905,163,6.576257
24.240486,105,6.633577
-15.364143,39,6.653875
-14.738439,19,6.663483
-18.638977,26,6.676759
-22.494102,10,6.681803
116.900544,94,6.731516
66.479454,109,6.78798
-13.650158,20,6.798747
-9.546823,21,6.809687
3.942138,43,6.831785
-10.452903,24,6.844128
-26.654661,40,6.86429
-4.482008,43,6.885967
4.062505,34,6.902872
306.990966,134,7.118151
-16.105818,15,7.132329
378.132713,133,8.166082
74.167149,102,8.220829
196.747854,203,8.329356
-3.996116,77,8.36878
79.711023,119,8.42942
67.828487,60,8.459391
566.46317,221,8.571876
16.106849,30,8.588022
441.753538,147,9.602932
243.363326,440,9.840599
24.318305,58,9.871167
25.849034,85,9.914378
604.586724,237,10.034558
419.682694,143,10.107692
451.70513,192,11.091536
-117.402897,131,11.166549
514.938075,225,11.285918
456.168857,144,11.359597
470.9439,222,11.472705
494.184247,165,12.448677
-130.71012,160,12.545935
177.00745,105,12.605066
530.90703,183,12.701138
427.165916,204,12.806426
559.718614,305,12.962578
487.800254,163,13.939188
484.305816,223,14.061778
365.774934,134,14.130573
465.51677,147,14.206547
362.3186,119,14.26719
513.377961,169,14.448025
149.234813,303,15.485409
394.894698,150,15.568126
480.328195,166,15.654134
429.769472,151,15.731108
504.578179,171,15.821246
560.788866,208,16.874992
569.958464,254,17.01628
535.835456,210,17.127743
463.531418,156,17.206353
484.031063,177,17.309431
352.745585,113,17.368192
482.945392,170,18.396838
356.246058,138,18.47085
459.654251,166,18.562038
314.635645,100,18.614358
512.465698,213,18.724299
511.448111,170,18.810758
538.837852,217,19.836471
443.391059,143,19.915779
478.688548,166,20.005868
471.327921,170,20.094361
411.491444,145,20.167933
471.166124,145,20.242712
437.370113,140,20.315462
570.209747,215,21.355326
426.853927,175,21.451575
558.535175,339,21.626143
508.720267,172,21.811991
340.053346,104,21.867796
560.313042,180,22.851183
379.606041,116,22.914823
531.484816,185,23.014142
553.785318,230,23.130917
507.669589,168,23.215241
-137.148729,162,23.299085
619.233068,238,24.327599
330.444875,108,24.386625
561.669562,178,24.478921
598.667363,220,24.591718
466.974404,169,24.677172
523.047721,176,24.767746
442.386392,162,25.735418
787.24539,399,25.948812
407.374877,119,26.010097
698.76914,293,26.159027
581.602957,175,27.151292
616.44813,294,27.308378
564.381677,177,27.40088
566.107694,177,27.490973
520.194593,174,27.582293
537.125517,146,28.542438
379.752706,128,28.61241
548.859123,158,28.697251
643.456018,195,28.7969
527.693701,157,29.003303
615.25841,261,29.164717
695.094525,219,30.250504
588.207808,187,30.353696
112.471515,122,30.417323
495.792064,145,30.491721
591.331673,202,30.594605
582.423444,187,30.689696
646.737134,218,31.700403
503.881707,155,31.784601
561.480899,165,31.868731
642.892392,198,31.973155
486.807662,144,32.046411
640.297482,233,33.062718
570.535198,173,33.157192
591.510124,178,33.251613
499.013359,168,33.337527
607.601034,213,33.4463
585.505714,199,33.547755
551.862936,157,34.524219
677.587175,271,34.670094
539.21168,163,34.753844
574.553008,179,34.845511
598.909821,192,34.944206
702.386855,233,35.948761
603.025666,198,36.058552
550.948011,164,36.254644
608.148439,219,36.366251
736.637989,268,36.518763
512.202767,157,37.525871
682.077967,235,37.654043
602.163898,218,37.775304
608.180049,180,37.8682
550.085976,157,37.948161
469.165534,130,38.898224
760.632753,340,39.094823
639.306332,175,39.201928
540.713098,151,39.279722
532.802753,162,39.363974
460.710406,130,39.430877
555.504498,164,40.41011
550.563336,154,40.494039
632.169385,193,40.595949
603.477475,174,40.685734
640.76956,205,40.790862
594.198802,173,40.878195
562.235749,156,41.855914
690.692004,221,41.976262
586.634109,161,42.059856
593.626089,177,42.151296
584.252532,160,42.233362
571.830189,217,43.257959
495.411322,139,43.333707
518.820228,146,43.5055
781.533487,307,43.664221
501.4774,147,43.739233
615.648057,172,43.826922
646.037171,193,44.818294
643.966184,178,44.914962
671.339566,220,45.028363
687.634395,210,45.134881
525.694312,141,45.205596
523.991904,149,46.210239
670.473335,193,46.315264
467.925375,141,46.391936
588.762969,159,46.47274
573.964183,148,46.563661
469.567795,129,46.63064
617.05983,165,46.715155
633.287357,181,47.697209
484.43092,125,47.772694
644.302192,174,47.870213
537.751601,156,47.950411
537.749896,142,48.021886
638.32338,168,48.108401
624.06561,157,49.083215
446.010587,138,49.167842
555.533071,150,49.249573
533.223347,140,49.322857
585.781816,167,49.406522
482.278158,134,49.474723
516.851996,139,49.545806
481.300888,132,49.611793
538.871156,140,50.585321
508.056465,139,50.753528
627.142978,165,50.842816
587.520214,169,50.929262
445.427721,122,50.989914
731.151799,200,51.091644
514.091096,145,52.060892
601.950575,164,52.148409
799.044972,194,52.253508
440.903739,115,52.31278
556.353316,157,52.393224
669.983656,213,52.50986
561.453033,156,53.495031
606.176446,162,53.582354
513.106474,140,53.658278
517.08648,152,53.736946
602.62346,176,53.826184
652.053115,185,53.920274
782.747119,214,54.958462
565.075923,155,55.042272
500.792282,135,55.115003
663.148516,187,55.211275
541.067842,150,55.288045
544.072887,148,55.364498
462.735041,126,55.42806
646.235675,162,56.41785
570.076021,163,56.521813
664.725937,169,56.613121
605.560161,163,56.695549
467.549193,132,56.76252
746.12181,193,56.860647
545.619303,147,56.935256
528.924788,141,58.020393
564.074916,144,58.095743
596.199096,151,58.171805
684.211592,194,58.273712
471.05603,126,58.337682
529.186174,161,58.419748
699.949219,191,59.45868
525.358967,138,59.531834
549.265815,143,59.609219
716.896558,198,59.710445
635.401089,152,59.787578
701.995988,171,59.873909
672.805571,176,60.859329
856.572254,204,60.96977
686.875333,164,61.061436
789.209162,194,61.160199
590.42814,148,61.24006
579.983154,150,61.315009
815.849141,210,62.321996
