#{"t_start": 1734961243.038347, "env_id": "Walker2d-v4"}
r,l,t
-39.816941,13,0.74544
-36.850934,22,0.757485
-25.440924,14,0.764916
-39.010465,18,0.773947
-23.818085,13,0.780735
-22.56385,12,0.786848
-31.085872,11,0.792414
-48.244087,13,0.798994
-34.95424,20,0.808911
-22.506461,14,0.816458
-14.135299,14,0.823463
-38.464667,9,0.828789
-45.120688,17,0.837902
-56.621857,23,0.849842
-54.016821,21,0.860551
-52.927192,20,0.870462
-47.357604,24,0.882909
-73.438112,30,0.900144
-33.316413,17,0.908671
-50.390608,13,0.915055
-15.641614,24,0.927234
-58.976686,36,0.947006
-36.144239,15,0.954481
-55.46551,28,0.96858
-47.528856,22,0.979909
-27.92062,10,0.98504
-28.681206,8,0.989159
-56.110194,22,1.001454
-40.461244,15,1.00977
-28.68236,14,1.016996
-50.484449,22,1.02806
-27.971939,18,1.03825
-28.762731,19,1.049078
-26.340668,8,1.053078
-37.041296,23,1.064752
-59.936185,21,1.075304
-15.564111,24,1.087422
-37.043448,19,1.096897
-28.68134,16,1.104765
-52.990181,28,1.118696
-44.358519,19,1.12824
-40.759963,18,1.137201
-40.087434,17,1.146504
-18.854386,19,1.156422
-34.433441,34,1.175754
-77.568005,28,1.191592
-26.157209,13,1.198923
-44.814052,15,1.207322
-48.667623,33,1.223938
-37.373078,25,1.236437
-29.323199,46,1.260691
-65.080029,28,2.205284
-134.788015,69,2.242114
-68.231752,26,2.255996
-23.361022,19,2.265882
-34.838769,41,2.287429
-17.901536,20,2.299013
-18.287762,15,2.307258
-22.361209,15,2.315592
-22.378489,11,2.321336
-23.48801,12,2.327698
-57.385655,18,2.337209
-70.160067,54,2.365808
-28.017901,8,2.369981
-21.262158,11,2.376025
-18.411534,16,2.386247
-31.537911,29,2.408639
-26.063019,14,2.417855
-21.124978,10,2.424194
-33.107522,13,2.432616
-20.760126,17,2.441942
-25.572801,8,2.445983
-51.34382,25,2.458748
-48.378043,15,2.466212
-25.833655,23,2.477808
-31.548673,11,2.48332
-64.982459,20,2.49331
-10.053904,20,2.504222
-59.387192,34,2.521933
-25.796066,11,2.527631
-20.291929,17,2.53697
-34.847802,22,2.548222
-41.813795,13,2.554715
-49.164316,37,2.573197
-12.568075,32,2.589405
-36.136653,22,2.600349
-21.073959,12,2.606276
-27.452003,43,2.62894
-29.362182,21,2.640295
-62.835896,40,2.66082
-10.843829,28,2.675069
-21.680395,24,2.687319
-35.340594,13,2.693883
-44.181827,22,2.704906
-27.323972,11,2.710346
-38.507266,14,2.718081
-16.284893,13,2.725002
-41.845997,12,2.731436
-48.97933,38,2.751036
-22.007227,11,3.6392
3.274002,33,3.657019
-31.587318,30,3.67659
-22.832336,19,3.687263
-12.427577,18,3.696819
33.786135,53,3.724973
11.060955,41,3.746322
-33.609818,27,3.76052
1.491324,57,3.792277
-35.99336,35,3.810466
-23.438378,11,3.81637
-17.798042,26,3.829979
-17.24799,13,3.836836
-0.675048,34,3.854087
-114.607372,80,3.895705
-28.363325,15,3.903399
-17.859871,54,3.930619
-21.230056,41,3.951097
-16.011186,23,3.962379
-0.510542,33,3.979687
-11.182148,16,3.988247
-19.354591,67,4.022173
-29.839024,18,4.03129
-10.21346,52,4.057335
-18.903123,21,4.067815
-18.78928,15,4.075232
-14.182256,20,4.086242
-19.839574,24,4.098905
-32.31831,31,4.114793
-28.979162,15,4.122368
-23.25924,18,4.131635
-7.461089,42,4.153075
-18.50434,23,4.164538
31.318154,99,5.093414
28.859351,95,5.144863
3.694638,31,5.162121
-24.952476,19,5.172389
-16.674306,40,5.193927
86.809242,84,5.238146
9.579367,33,5.256519
-4.623493,28,5.270778
-18.592236,15,5.278394
-15.411596,16,5.286566
-10.604213,27,5.300148
-23.187773,20,5.3104
-19.172271,14,5.317457
-37.992007,22,5.328199
46.025043,85,5.374673
-24.807251,17,5.383546
17.707901,37,5.40223
24.916501,42,5.423539
-15.243408,22,5.434502
-20.57266,14,5.441397
-12.654439,28,5.455319
-0.557339,29,5.471508
26.960487,55,5.499249
-65.067685,55,5.527087
-6.125257,31,5.542742
-20.35431,14,5.549662
-14.499765,13,5.556044
-7.56934,18,5.565914
-6.344254,31,5.582312
-13.951237,42,6.491479
-18.894787,14,6.498947
-12.589367,26,6.532824
0.548685,40,6.554531
-14.900259,13,6.561472
-13.112847,35,6.580083
-17.413958,20,6.591005
-16.170993,10,6.596279
-0.151977,58,6.627854
31.205241,80,6.671162
-9.396846,17,6.679838
52.260063,55,6.707736
10.164125,40,6.729334
-9.281783,28,6.743639
94.834676,182,6.838739
16.022989,70,6.874582
11.863807,57,6.9033
-5.602196,54,6.931087
30.781679,121,7.133926
19.183386,38,7.16973
-11.381,14,7.180772
-10.763132,31,8.151346
28.307768,44,8.174243
388.564225,176,8.269313
333.403392,140,8.345255
-1.624907,36,8.363186
24.528445,45,8.385688
511.2131,186,8.480859
597.127076,276,8.622387
-17.219626,22,8.6336
-13.076112,13,8.640064
353.004955,138,9.651161
389.397393,142,9.728611
329.634604,125,9.800432
65.529835,187,9.896068
416.335943,159,9.976247
392.413376,153,10.054662
460.188121,209,11.0443
-15.052564,14,11.051975
543.957937,222,11.172355
-123.827528,268,11.316791
28.862804,78,11.357205
311.929751,172,11.443704
505.520057,171,11.531228
457.38604,167,12.521362
315.989148,94,12.572471
414.106042,138,12.649134
544.196913,203,12.754583
438.11965,158,12.836552
492.924272,209,12.942831
338.075478,134,13.903118
473.983693,153,13.98641
512.24735,231,14.110645
70.05341,104,14.16352
464.698729,181,14.256672
134.946378,326,14.519277
499.506542,183,15.493071
382.79333,135,15.566655
490.175329,176,15.65953
379.57298,124,15.723493
409.279719,141,15.796425
460.080582,179,15.890957
474.481374,184,16.932964
338.184554,114,16.996514
358.456221,122,17.065198
-89.923172,132,17.13317
444.878798,175,17.223029
555.077381,206,17.340818
549.479233,227,18.397013
567.571151,252,18.535603
522.977405,175,18.628731
380.857019,133,18.696416
441.961719,156,18.777287
527.405699,203,18.881199
439.021554,177,19.889545
444.683778,169,19.980472
427.649943,172,20.071859
358.323885,132,20.141172
421.987957,149,20.218551
476.08858,184,20.312454
520.065244,173,21.327529
630.255254,305,21.494837
520.677102,220,21.608255
464.949066,139,21.776088
462.958236,211,21.886557
621.577634,215,22.889158
475.014689,161,22.977124
482.613074,137,23.050155
471.296318,149,23.123944
423.405388,135,23.193543
339.177713,104,23.245726
