#{"t_start": 1734961243.143069, "env_id": "Walker2d-v4"}
r,l,t
-51.18285,25,0.64762
-24.055678,9,0.652308
-35.928393,11,0.658255
-76.223417,30,0.673538
-34.690703,10,0.678631
-29.053263,9,0.683267
-56.481858,32,0.699351
-26.648396,11,0.704784
-34.302212,14,0.712325
-73.030372,27,0.726711
-39.691906,20,0.737449
-32.191268,23,0.749335
-54.137629,19,0.758899
-58.800419,18,0.767893
-84.191977,32,0.784761
-22.102702,13,0.792399
-14.375477,17,0.801566
-28.371457,13,0.808021
-28.691824,11,0.813505
-33.253808,13,0.820006
-22.966642,8,0.824121
-30.574477,14,0.832157
-52.088442,19,0.842339
-75.128197,25,0.854866
-37.309721,19,0.864483
-53.461703,29,0.879428
-37.590853,13,0.886042
-75.032012,40,0.908269
-20.44879,13,0.914904
-17.682999,13,0.921503
-35.858589,28,0.93684
-43.882163,35,0.955543
-60.795322,24,0.967596
-23.035887,24,0.979879
-34.225914,9,0.98428
-31.02045,16,0.992285
-48.998565,16,1.000171
-14.739068,20,1.010083
-35.932842,13,1.016526
-36.941818,12,1.022625
-52.74071,22,1.033585
-32.993378,12,1.040424
-51.774931,16,1.048718
-50.174468,28,1.064412
-23.879868,11,1.070582
-34.239432,10,1.076421
-51.652286,20,1.087588
-34.266628,27,1.102652
-28.92145,16,1.110859
-23.460145,13,1.117332
-19.403682,13,1.123836
-38.229778,13,1.130272
-45.065974,17,1.138738
-31.596332,47,1.163719
-39.000892,13,2.100407
-56.027623,62,2.133893
-33.430974,16,2.142165
-49.090182,31,2.158674
-23.409298,19,2.168669
-25.835169,17,2.177762
-47.864345,16,2.185984
-62.445282,39,2.208109
-33.230558,12,2.214673
-35.739903,21,2.225786
-102.953031,81,2.268717
-28.162869,26,2.285148
-25.152357,25,2.304613
-25.756882,11,2.312004
-38.553348,25,2.328003
-19.503487,40,2.349049
-63.776451,70,2.384252
-35.896742,21,2.394652
-45.502904,34,2.413246
-39.412272,61,2.44513
-20.875841,21,2.4557
-64.701164,48,2.479694
-33.92672,11,2.485289
-4.947517,38,2.505161
-52.978801,16,2.513345
-24.240534,24,2.52543
-42.244237,36,2.544654
-36.112661,25,2.55728
25.184083,45,2.580244
-14.152433,13,2.586719
-26.911928,10,2.591844
-29.352742,12,2.597811
-119.194141,79,2.639291
-27.487619,18,2.648497
-24.783156,22,3.5429
-22.449586,15,3.550749
-37.351244,41,3.576689
-21.537769,16,3.585374
-8.356468,18,3.594859
-20.247449,12,3.601146
-21.084889,15,3.609223
-8.717697,27,3.62353
-37.348016,50,3.649691
-17.825571,11,3.655402
-26.594754,28,3.671385
-44.092581,21,3.682859
-53.835104,48,3.707916
-36.663408,54,3.73632
-22.439503,17,3.744946
6.910893,30,3.760022
-16.784619,17,3.769477
-28.445221,25,3.782662
-24.033016,21,3.793196
-19.226381,19,3.802735
-23.351383,19,3.812391
-32.452729,32,3.828463
-29.88879,18,3.837451
