#{"t_start": 1734961243.1134331, "env_id": "Walker2d-v4"}
r,l,t
-71.23567,28,0.678812
-43.866818,29,0.693808
-37.589234,15,0.701493
-39.355465,15,0.709183
-40.394775,20,0.719293
-59.83817,22,0.730415
-25.837838,21,0.741394
-38.373177,13,0.747895
-19.054021,13,0.755225
-32.566731,14,0.762804
-53.213519,16,0.771282
-61.912517,25,0.783949
-22.269598,13,0.790434
-29.737986,11,0.795881
-35.890605,12,0.802442
-34.492206,13,0.808864
-25.601362,12,0.815964
-52.511771,23,0.828483
-19.505224,11,0.834088
-53.380471,27,0.847568
-52.667592,14,0.854712
-41.17457,14,0.862667
-29.114556,17,0.871929
-62.815897,21,0.882277
-30.425905,13,0.889104
-50.202762,24,0.901199
-42.964678,10,0.906351
-22.123664,17,0.915018
-39.834017,11,0.921128
-30.546408,16,0.930032
-45.859629,15,0.938319
-56.034354,29,0.952986
-58.72231,27,0.968338
-19.173148,8,0.972931
-25.421972,18,0.981959
-29.946627,9,0.986573
-22.310546,8,0.990691
-63.255158,18,0.999669
-62.409828,29,1.014308
-21.240999,7,1.017805
-20.637606,11,1.023295
-25.456276,10,1.028248
-79.786496,21,1.038649
-32.969969,21,1.049132
-31.563616,17,1.057751
-31.540509,16,1.066396
-24.473989,17,1.075335
-10.076186,14,1.082341
-62.593069,20,1.094077
-19.755342,14,1.101962
-35.902465,15,1.110477
-28.549772,13,1.117837
-45.026507,20,1.128973
-46.955899,14,1.136519
-24.256074,11,1.141881
-57.635972,21,1.152388
-23.914616,29,1.16674
-43.424781,18,1.176645
-19.559286,10,1.182164
-20.576519,23,1.193778
-49.976495,11,1.199207
-27.671958,9,2.134975
-24.268816,23,2.147409
-18.225105,26,2.160861
-19.926855,13,2.167525
-20.762212,16,2.175979
-33.108833,9,2.180814
-47.616061,32,2.197609
-19.402593,12,2.204051
-13.671527,20,2.214437
-21.973944,22,2.227115
-23.116443,15,2.235548
-28.016505,15,2.243788
-34.859263,21,2.254768
-22.398992,10,2.260056
-27.733375,14,2.267435
