#{"t_start": 1734962106.824351, "env_id": "Walker2d-v4"}
r,l,t
-65.224915,34,0.689768
-21.108424,12,0.698353
-14.826594,12,0.709152
-54.101197,27,0.728601
-17.533369,9,0.73464
-54.253595,26,0.753457
-29.606437,19,0.767111
-20.744716,11,0.774286
-35.788939,28,0.79309
-39.707724,29,0.812889
-18.596734,12,0.820738
-36.575142,17,0.832139
-65.099475,38,0.857092
-33.414471,20,0.872327
-37.665046,15,0.882819
-20.371935,10,0.889869
-34.197899,18,0.901942
-36.925524,18,0.913918
-22.802106,13,0.922486
-18.277498,13,0.930853
-26.178909,17,0.941793
-27.461228,14,0.951179
-32.950357,13,0.959447
-28.260889,19,0.973928
-33.088375,22,0.98877
-31.165175,14,0.998235
-22.925189,14,1.007399
-40.034167,22,1.022032
-16.418539,14,1.031068
-25.626134,13,1.039586
-38.652075,19,1.052319
-54.70346,31,1.07427
-46.043762,21,1.088511
-32.640726,16,1.098717
-21.547248,11,1.106455
-22.244735,12,1.11443
-78.734984,38,1.139468
-25.661907,15,1.148945
-24.54085,15,1.158632
-13.777451,10,1.165274
-28.32863,14,1.175831
-17.71817,9,1.182461
-27.257704,14,1.191215
-42.694386,27,1.209392
-68.235912,33,1.243799
-21.439317,13,1.25505
-73.582273,37,1.282485
-37.081417,19,1.296309
-16.758186,10,1.303222
-16.812474,10,1.309927
-26.60359,18,1.322473
-33.346642,23,1.338149
-54.566947,23,1.354
-28.108496,15,1.364679
-17.08759,9,1.370771
-28.728829,13,1.379055
-27.16616,13,1.388392
-28.059438,22,1.403989
-78.745185,34,1.428286
-28.966794,13,1.436722
-47.907526,23,1.451882
-45.292934,21,1.465561
-37.64667,23,1.480465
-38.227641,19,1.493864
-28.154506,22,1.509266
-46.397077,20,1.523109
-43.617125,23,1.537905
-59.953482,36,1.56282
-53.638444,24,1.580065
-50.962843,27,1.602127
-21.305542,13,1.611625
-18.314418,12,1.619607
-20.983995,13,1.628464
-24.666096,14,1.637713
-74.267226,32,1.658949
-72.377991,30,1.679102
-21.900733,10,1.685687
-33.067077,18,1.697665
-44.339272,17,1.710834
-55.492049,27,1.728888
-24.287979,13,1.737531
-39.713071,17,1.751714
-16.774434,13,1.764157
-23.81691,17,1.779954
-22.640849,16,1.793644
-17.70124,11,1.803126
-58.832755,24,1.822439
-19.4978,11,1.83051
-31.948035,16,1.840896
-19.705317,14,1.851014
-56.198302,32,1.872169
-57.151229,30,1.892384
-26.664949,14,1.902475
-49.351729,23,1.919577
-53.253647,24,1.936316
-49.6682,25,1.952591
-36.038204,17,1.963825
-47.943317,23,1.97909
-17.522457,11,1.986374
-59.363327,25,2.002465
-32.299501,13,2.010822
-28.428589,15,2.020879
-28.061567,15,2.032644
-34.826235,21,2.047531
-38.514745,18,2.061421
-21.919692,14,2.07241
-60.762354,34,2.098573
-54.353938,31,3.960754
-32.108138,20,3.974448
-29.423331,26,3.992218
-19.658313,13,4.000994
-24.900267,13,4.010558
-19.521102,12,4.019893
-46.330165,23,4.035892
-37.03366,19,4.048694
-26.9772,13,4.057574
-34.206712,19,4.070533
-23.588694,14,4.080136
-27.202579,17,4.091344
-17.532283,13,4.100121
-30.508103,14,4.109704
-19.918619,10,4.119368
-16.555433,10,4.126728
-70.537946,35,4.150959
-11.865443,9,4.15697
-51.053518,24,4.17351
-22.755037,15,4.183372
-13.991098,10,4.189938
-35.650413,19,4.202934
-18.815653,10,4.20969
-43.999637,23,4.228018
-35.843042,19,4.240946
-21.704556,16,4.251774
-46.836812,24,4.268126
-35.39272,16,4.27912
-31.468074,15,4.289099
-16.10757,11,4.296573
-29.204597,13,4.305529
-54.194983,21,4.320593
-18.022248,9,4.326993
-38.567749,20,4.341061
-32.296214,16,4.352533
-30.840038,16,4.363711
-23.756798,14,4.373033
-42.689018,18,4.385241
-20.503838,13,4.3939
-21.05011,13,4.402616
-24.558562,15,4.412704
-39.433146,20,4.427026
-17.841984,8,4.432407
-27.632532,14,4.442386
-53.499161,25,4.459815
-25.008777,13,4.468525
-19.238103,10,4.475686
-18.465748,11,4.483246
-26.773827,15,4.493365
-38.374096,22,4.508131
-16.494299,12,4.516206
-26.72307,15,4.526167
-13.060326,11,4.534713
-55.419249,31,4.557034
-21.000286,11,4.564484
-11.81016,9,4.570604
-17.753395,12,4.578799
-36.24944,19,4.591503
-36.819003,15,4.601684
-34.647347,18,4.613733
-43.63451,20,4.627022
-26.956887,15,4.637957
-38.399944,17,4.650787
-22.481569,16,4.661748
-36.929147,18,4.673724
-33.498295,14,4.683178
-31.047921,19,4.695949
-35.779163,20,4.708999
