#{"t_start": 1734962106.732705, "env_id": "Walker2d-v4"}
r,l,t
-48.674389,24,0.774611
-18.33201,11,0.782288
-29.603772,18,0.795853
-26.183812,18,0.810765
-17.338989,9,0.816971
-15.492913,9,0.823008
-60.582879,22,0.83819
-24.533665,13,0.847667
-39.453964,36,0.872906
-11.831359,12,0.88075
-22.372836,12,0.888907
-48.308623,23,0.904617
-41.632937,22,0.919149
-35.204457,17,0.930217
-23.253623,16,0.940904
-43.545678,21,0.955514
-21.199454,10,0.963164
-17.745707,12,0.971687
-26.081964,15,0.982122
-73.43833,30,1.001949
-43.415638,21,1.015943
-71.345923,38,1.040859
-58.685153,28,1.060681
-59.827971,34,1.083717
-17.214818,11,1.091411
-23.330941,13,1.09983
-78.354067,34,1.122129
-33.620159,19,1.134495
-27.424014,15,1.144656
-32.300872,27,1.163435
-21.3129,12,1.172277
-37.223302,18,1.184029
-22.570775,13,1.192202
-26.72566,11,1.200005
-55.34005,27,1.218432
-34.109765,19,1.230515
-56.702895,33,1.25173
-21.578384,16,1.263647
-15.907896,11,1.271468
-71.819774,31,1.29172
-25.092839,16,1.302432
-16.676913,10,1.311845
-27.458564,19,1.333884
-34.447892,18,1.348831
-53.317594,24,1.365759
-19.38207,10,1.37418
-66.302674,36,1.399605
-35.671329,25,1.416778
-23.669607,12,1.425161
-31.15364,17,1.436852
-53.157372,22,1.451928
-18.910991,14,1.461749
-28.127215,15,1.471531
-32.574256,19,1.484847
-48.147431,23,1.501077
-41.250962,20,1.516013
-36.609603,20,1.529102
-26.059467,14,1.53835
-29.791434,17,1.549369
-17.276856,10,1.555928
-24.806133,19,1.568236
-52.267645,25,1.585496
-11.765007,10,1.59297
-57.846621,28,1.611862
-24.598216,19,1.624563
-13.731281,8,1.629682
-22.654371,14,1.638847
-39.526564,18,1.651814
-29.091924,16,1.662834
-51.666906,23,1.68111
-35.536565,28,1.702659
-72.916566,31,1.723555
-49.58286,22,1.737876
-21.813356,10,1.744504
-37.752496,19,1.757255
-60.777728,32,1.778658
-21.241868,12,1.786816
-50.888447,26,1.80606
-19.352107,14,1.815185
-35.009611,19,1.827893
-32.17411,19,1.843275
-45.885589,20,1.862258
-39.331297,20,1.880807
-21.473363,13,1.890822
-39.446062,23,1.91112
-51.726538,32,1.93263
-90.626021,41,1.960609
-16.288791,9,1.966294
-67.763279,31,1.987692
-18.355924,10,1.994755
-28.694371,12,2.004026
-84.241649,43,2.034017
-24.207464,16,2.044238
-14.882261,10,2.050958
-23.411977,12,2.058633
-41.868638,21,2.072623
-28.221659,16,2.083391
-22.700885,12,2.090999
-13.907165,9,2.096581
-24.89228,14,2.10545
-43.741189,24,2.123599
-25.670158,16,2.134548
-55.549971,27,2.155421
-27.870276,17,2.169097
-29.984211,12,2.178457
-37.230261,17,2.191042
-16.33187,9,2.19714
-33.468998,18,4.050053
-27.267873,15,4.060598
-28.154045,16,4.071669
-18.161122,12,4.079867
-22.585287,13,4.088641
-19.147786,12,4.096527
-78.253208,35,4.122817
-48.373124,24,4.139128
-27.406192,13,4.147936
-21.47186,13,4.156942
-56.058436,29,4.176408
-26.024877,12,4.184427
-53.900825,24,4.200755
-36.688607,21,4.218435
-46.361415,22,4.233699
-15.832084,10,4.240585
-28.482969,17,4.252355
-24.298458,14,4.261909
-18.071264,10,4.268566
-67.053231,24,4.28454
-25.943146,15,4.294719
-46.040209,21,4.310422
-37.813775,19,4.324515
-18.243876,11,4.331906
-49.169528,25,4.348761
-21.600249,11,4.356561
-15.195732,8,4.361917
-23.91817,14,4.371538
-22.626411,12,4.379593
-20.94133,12,4.387674
-33.446427,26,4.405376
-32.190379,17,4.417942
-18.731836,11,4.42592
-14.847637,11,4.433463
-14.20461,9,4.440053
-16.485911,9,4.446278
-38.176708,26,4.464035
-72.388475,31,4.484876
-27.86812,14,4.494323
-28.332659,18,4.506333
-16.242686,9,4.512498
-30.964722,22,4.528748
-27.532293,26,4.546687
-41.442026,23,4.562715
-42.067926,20,4.576292
-31.383173,19,4.589061
-41.164627,19,4.601839
-30.032968,16,4.612573
-15.621974,9,4.618654
-24.241623,17,4.63193
-30.951277,17,4.644019
-19.097792,10,4.650806
-19.765584,10,4.657571
-17.781326,8,4.663032
-24.332991,14,4.672572
-34.233789,16,4.68328
-16.576705,7,4.688071
-49.121302,22,4.702728
-27.825889,15,4.712909
-15.883622,11,4.720078
-31.075809,17,4.732421
-12.23716,11,4.74099
-27.598826,16,4.752039
-27.137594,12,4.76011
-23.538337,17,4.771561
-16.056945,9,4.777604
-34.013633,16,4.788382
-34.124288,19,4.80061
-14.881065,11,4.807851
-47.882553,25,4.825034
-20.711244,14,4.835501
-21.480014,12,4.846424
-26.59064,16,4.859773
-52.512931,30,4.880508
-74.484466,34,4.903807
-33.255426,19,4.916488
-25.107989,15,4.926516
-16.920627,12,4.934681
-20.854059,10,4.942181
-19.664175,13,4.952023
-19.052296,9,4.958475
-22.752599,15,4.968786
-55.516793,29,4.988639
-16.077084,8,4.994119
-20.668689,15,5.004542
-18.922338,9,5.010541
-35.264778,16,5.021428
-32.699195,17,5.032782
-14.04374,9,5.03878
-48.046255,23,5.056205
-24.015094,16,5.067284
-24.713706,16,5.078961
-29.315354,15,5.0892
-34.100128,18,5.101223
-14.646402,10,5.108198
-38.914588,22,5.122736
-18.084839,10,5.129559
-34.366164,21,5.143458
-37.700777,19,5.156854
-27.58119,14,5.167371
-38.255177,22,5.182412
-19.106518,11,5.189874
-30.793693,15,5.200203
-20.277336,17,5.212017
-24.059955,14,5.222643
-26.616829,14,5.232096
-24.837902,14,5.241351
-25.138335,13,5.249949
-33.116511,19,5.264258
-36.110153,16,5.275507
-38.095016,17,5.287311
-27.708765,12,5.295836
-22.480671,10,5.302501
-30.288173,13,5.311513
-53.228569,24,5.328774
-47.034879,20,5.342209
-20.268994,10,5.348999
-32.232907,18,5.360987
-55.434922,30,5.38323
-14.535314,9,5.389749
-35.179919,13,5.398631
-45.637066,27,5.417046
-21.319292,10,5.423855
-23.296809,14,5.433215
-112.666005,54,7.195527
-15.505296,10,7.20284
-17.962343,10,7.209658
-24.558748,18,7.223203
-29.520409,16,7.236012
-19.502796,10,7.243555
-33.375739,18,7.256583
-28.89291,18,7.270183
-15.773258,9,7.276322
-18.042264,10,7.283036
-27.175555,15,7.292861
-13.053208,11,7.300312
-15.824177,11,7.307639
-17.297174,8,7.312869
-26.647902,15,7.323065
-36.654974,15,7.333275
-24.587317,13,7.342025
-20.142544,9,7.348014
-17.012911,11,7.355555
-27.702833,16,7.36687
-21.929384,13,7.376501
-19.295732,9,7.382775
-14.528329,8,7.388644
-41.434925,21,7.402896
-32.480493,17,7.413982
-23.866522,13,7.423168
-41.833495,23,7.438419
-13.917742,9,7.444506
-20.39518,12,7.452494
-16.125595,7,7.457105
-26.695746,12,7.466177
-13.449663,11,7.474421
-14.682646,9,7.480791
-13.442076,9,7.487216
-30.399963,16,7.498
-16.76659,10,7.504804
-20.08794,13,7.513647
-29.359411,15,7.523818
-45.882311,26,7.540916
-19.708741,10,7.547472
-17.92337,13,7.556092
-14.509078,9,7.562122
-12.114722,9,7.5682
-15.152866,8,7.574298
-28.535891,14,7.584438
-22.252955,9,7.590886
-17.19638,9,7.596836
-18.773918,9,7.603154
-17.382771,10,7.610147
-26.863501,15,7.620373
-29.132707,12,7.628032
-18.251189,10,7.6346
-14.359618,7,7.63934
-22.282036,12,7.647352
-31.965829,15,7.657186
-19.266554,11,7.664411
-15.367351,8,7.669667
-19.420067,12,7.678751
-21.742298,14,7.689762
-15.770108,9,7.695868
-21.205777,11,7.703404
-21.577922,11,7.710899
-13.975372,9,7.716945
-28.666563,16,7.727669
-39.448652,18,7.739963
-21.920409,12,7.747884
-19.402726,11,7.755218
-16.4134,12,7.76317
-51.341109,23,7.778765
-34.65424,15,7.790539
-23.010401,14,7.80026
-12.595622,9,7.807107
-37.151472,19,7.819824
-19.929714,10,7.862791
-19.443421,14,7.872656
-20.651666,15,7.882778
-34.402912,19,7.897095
-36.430574,21,7.912159
-44.747729,21,7.926977
-29.576445,15,7.937334
-16.377902,12,7.945034
-18.545732,10,7.952064
-13.306945,10,7.958674
-27.198015,10,7.965226
-17.481944,9,7.971284
-13.772731,10,7.978037
-29.334511,16,7.988733
-13.531059,9,7.995691
-15.146891,12,8.004813
-17.23937,11,8.012374
-24.669534,12,8.020606
-18.383479,9,8.026607
-19.151357,10,8.033219
-24.603396,15,8.043159
-14.322555,7,8.047808
-42.605498,23,8.063371
-24.022572,14,8.072567
-17.248402,9,8.0787
-21.444261,11,8.086096
-31.019716,16,8.096746
-44.378584,23,8.113839
-40.265163,19,8.126934
-40.713989,18,8.138918
-16.61095,9,8.145064
-22.506488,14,8.154534
-18.397998,10,8.161297
-31.855188,14,8.170724
-22.395153,14,8.180876
-32.622142,22,8.195383
-16.460304,7,8.200146
-18.823287,13,8.20982
-24.710672,14,8.220699
-19.968913,11,8.228219
-22.628675,15,8.238116
-28.821013,16,8.248956
-25.475938,16,8.259421
-22.145408,12,8.267316
-24.402996,10,8.273987
-16.489586,13,8.282755
-31.787386,13,8.291253
-16.526765,8,8.296552
-15.60941,10,8.303553
-25.869797,12,8.312098
-24.655748,13,8.322234
-19.851306,11,8.32998
-17.736991,8,8.335578
-22.012835,13,8.344264
-17.181782,9,8.350232
-22.072412,14,8.359579
-21.915607,11,8.366892
-35.56752,17,8.378399
-14.930741,14,8.387641
-31.784523,20,8.400872
-19.909036,13,8.409613
-15.306953,7,8.41439
-19.915397,12,8.423512
-21.343641,12,8.431513
-63.042055,31,8.453068
-24.260154,14,8.462274
-34.47994,20,8.47568
-18.651874,10,8.482243
-25.475752,14,8.491623
-17.482979,9,8.497496
-13.04908,7,8.502214
-18.268295,9,8.508215
-20.882132,9,8.514428
-14.098668,8,8.519593
-26.162499,12,8.528595
-17.296943,11,8.536986
-39.272167,20,8.550693
-13.132267,8,8.55605
-22.859231,15,8.566134
-43.037215,24,8.582298
-18.083445,8,8.587732
-19.683378,10,8.59448
-24.207916,12,8.602397
-25.807166,11,8.609618
-14.942855,9,8.616053
-24.381061,16,8.627073
-25.951461,18,8.64035
-16.902291,10,10.261385
-17.138996,8,10.267123
-19.262029,12,10.27502
-22.352271,10,10.281746
-27.898497,15,10.291871
-17.217361,9,10.297712
-17.55255,10,10.305418
-41.425294,22,10.322731
-18.183174,10,10.330305
-17.829442,9,10.336778
-17.986548,15,10.348258
-17.848968,11,10.355708
-16.797152,9,10.361872
-19.022332,9,10.367816
-18.545257,10,10.374777
-29.215381,14,10.383847
-13.192737,7,10.388782
-22.272259,11,10.397678
-21.654541,13,10.406193
-28.243583,14,10.415902
-21.267986,15,10.426902
-22.0432,11,10.434403
-20.439601,10,10.441533
-14.638882,8,10.446978
-15.094706,8,10.45256
-16.121475,10,10.459284
-12.141306,7,10.463899
-17.45904,12,10.471914
-17.222797,10,10.478166
-16.933667,9,10.48411
-21.377363,10,10.490589
-15.433441,10,10.497371
-20.259044,12,10.505375
-17.254915,9,10.511322
-16.920027,9,10.518009
-16.035107,9,10.52482
-18.469882,11,10.532752
-14.569067,11,10.540757
-16.824101,7,10.54556
-15.419084,11,10.552975
-21.801321,11,10.559914
-35.091412,19,10.572766
-14.450127,9,10.578652
-16.68031,8,10.584009
-14.518666,11,10.59113
-15.758876,10,10.597743
-23.89737,13,10.606191
-16.365939,8,10.611396
-14.29927,7,10.615863
-14.604285,10,10.623741
-17.660142,8,10.629898
