#{"t_start": 1734962106.815943, "env_id": "Walker2d-v4"}
r,l,t
-24.296004,14,0.684076
-64.835047,34,0.708753
-36.032311,14,0.721098
-88.518355,41,0.749564
-28.000712,16,0.761177
-46.368119,25,0.778797
-23.986633,12,0.786901
-21.606603,13,0.795516
-73.054118,34,0.81864
-81.824525,39,0.844443
-29.668125,16,0.854865
-25.157276,14,0.864158
-70.111717,31,0.887131
-34.011327,16,0.898261
-31.007951,12,0.906267
-32.318896,18,0.918036
-54.438169,22,0.932695
-88.346355,39,0.958238
-17.838155,11,0.965273
-31.934567,14,0.975312
-81.123967,29,0.995901
-22.67789,14,1.005256
-21.077631,11,1.012685
-49.030662,26,1.029734
-25.505962,12,1.037597
-28.661642,16,1.048046
-35.116018,18,1.060003
-19.791433,11,1.067354
-51.128598,21,1.082537
-29.569226,17,1.094278
-17.398437,11,1.101606
-21.142847,12,1.108971
-40.246594,19,1.122046
-53.858818,25,1.139103
-22.435398,12,1.146575
-53.294433,27,1.163891
-33.31605,19,1.17665
-49.552822,24,1.193914
-31.525834,15,1.203939
-19.544388,12,1.211903
-16.267073,12,1.219865
-41.906431,20,1.244503
-27.27832,15,1.256147
-76.847913,37,1.283919
-72.363859,52,1.322224
-23.30231,14,1.33159
-13.985525,10,1.338594
-28.454021,22,1.353618
-40.027197,19,1.366563
-19.232344,13,1.375842
-34.548127,21,1.389531
-42.609007,20,1.404507
-29.163729,15,1.414535
-25.146655,19,1.428138
-33.017464,16,1.439308
-71.515642,44,1.468128
-28.812284,14,1.477246
-64.296663,29,1.496004
-25.66394,14,1.50692
-28.112871,14,1.516402
-46.608331,21,1.530833
-43.699612,24,1.546444
-40.3997,15,1.556318
-17.531633,10,1.563168
-23.684213,11,1.571234
-50.91241,22,1.586855
-24.757207,14,1.598561
-48.800931,26,1.618374
-37.681394,18,1.630687
-17.419707,10,1.637656
-42.166058,18,1.649484
-17.75788,13,1.657906
-17.603763,8,1.663284
-36.580304,21,1.677256
-41.946608,21,1.691584
-26.341229,16,1.702186
-25.616877,16,1.713638
-69.378621,31,1.735284
-38.890673,20,1.748616
-20.847518,11,1.757991
-21.654591,16,1.7734
-52.808012,19,1.790896
-27.736186,14,1.802954
-36.499747,24,1.824497
-32.910948,21,1.838884
-32.424792,20,1.852671
-44.040889,20,1.866039
-32.667697,18,1.878021
-20.758669,10,1.884353
-24.271095,15,1.894625
-83.47385,34,1.918232
-52.710808,27,1.938617
-50.254469,21,1.952717
-39.814237,20,1.965752
-37.555919,19,1.978087
-27.333429,12,1.986166
-24.504652,15,1.996142
-59.074518,28,2.014118
-36.411833,26,2.031215
-25.079644,14,2.042402
-20.058256,12,2.050719
-24.209368,12,2.059405
-70.965215,30,2.083223
-43.400364,19,2.099184
-33.675307,19,2.112044
-34.507923,19,3.965289
-27.369577,26,3.983665
-37.279814,17,3.995097
-15.822408,9,4.001251
-23.594959,12,4.009403
-40.103888,20,4.024642
-21.473498,11,4.032459
-25.782997,15,4.042977
-55.949762,26,4.060597
-95.023601,38,4.08651
-21.268495,16,4.097087
-23.608194,13,4.105847
-22.436154,13,4.11475
-15.813111,11,4.123186
-14.691731,9,4.131351
-22.055414,13,4.140878
-24.427371,12,4.148977
-19.918003,12,4.157329
-38.515966,19,4.170525
-15.149797,9,4.176532
-23.168904,13,4.185288
-33.980647,17,4.196492
-26.510616,17,4.208051
-22.537934,16,4.218796
-27.058613,13,4.229852
