#{"t_start": 1734962106.82257, "env_id": "Walker2d-v4"}
r,l,t
-26.988316,17,0.679556
-39.860377,17,0.691489
-20.298885,12,0.699983
-18.451967,11,0.709941
-56.979163,28,0.730337
-19.767672,14,0.74021
-24.508799,12,0.748123
-18.875198,9,0.755105
-27.921015,17,0.767319
-26.160612,14,0.776668
-19.211814,14,0.786114
-16.142084,9,0.792064
-24.354678,16,0.802961
-22.688786,12,0.811132
-74.104393,36,0.835097
-30.062944,16,0.845407
-19.420953,11,0.852905
-21.604049,12,0.861592
-32.138132,19,0.875293
-13.168126,7,0.880351
-44.963875,23,0.896237
-56.74289,24,0.911939
-61.444347,29,0.931213
-14.595235,9,0.937195
-27.236524,14,0.946252
-47.27523,23,0.961186
-50.629029,22,0.977659
-12.576065,7,0.982617
-68.682082,30,1.002695
-28.481206,13,1.01121
-35.045523,21,1.025101
-25.336839,15,1.034805
-29.598606,16,1.045287
-73.919024,27,1.063183
-24.385719,9,1.070144
-35.994201,20,1.084294
-11.985244,8,1.089544
-45.911325,21,1.103008
-42.961501,23,1.118764
-92.194313,41,1.145583
-51.325126,23,1.160445
-39.402534,23,1.176951
-72.863558,34,1.199741
-17.7813,9,1.205768
-29.379708,17,1.218523
-23.929444,14,1.237698
-36.812764,23,1.256776
-34.074928,20,1.271215
-29.967665,17,1.284224
-83.77995,33,1.307593
-70.003491,29,1.327445
-23.679549,13,1.336575
-25.154401,15,1.346809
-38.660247,20,1.360488
-42.952086,18,1.373216
-48.815838,28,1.392262
-21.673968,12,1.401057
-21.813956,12,1.409109
-51.458288,24,1.426693
-75.063132,32,1.447685
-32.12114,14,1.456732
-31.629548,15,1.466668
-63.534357,28,1.484745
-26.806051,17,1.497076
-38.085879,16,1.508333
-41.037697,19,1.521222
-36.251914,22,1.535828
-13.966622,8,1.540923
-28.699168,14,1.550367
-51.873663,30,1.571301
-18.676167,10,1.578664
-70.601346,29,1.601604
-29.03399,15,1.613353
-27.546167,15,1.623214
-50.569755,25,1.64009
-62.586185,31,1.66057
-36.189598,17,1.671888
-36.945921,16,1.682833
-70.337035,28,1.702192
-13.956882,8,1.707564
-35.299178,16,1.719356
-39.624142,20,1.732558
-26.967877,13,1.741134
-48.391837,18,1.757464
-34.877553,27,1.782491
-44.664006,20,1.799242
-20.983935,14,1.812795
-31.61005,17,1.824873
-21.265405,16,1.836111
-71.288745,38,1.862021
-36.181524,21,1.875723
-24.608479,14,1.885139
-20.881915,12,1.893306
-26.619838,13,1.902879
-36.017989,24,1.91995
-63.239791,31,1.941933
-12.412118,9,1.947811
-24.190068,15,1.957648
-15.347449,11,1.964922
-27.776017,14,1.974059
-22.768879,14,1.983473
-21.217747,11,1.990758
-17.565896,8,1.996045
-24.958639,15,2.005483
-25.418327,16,2.015537
-31.540628,16,2.026993
-23.122188,13,2.037117
-42.618634,21,2.052081
-15.496594,8,2.058366
-16.379136,9,2.065524
-37.051811,16,2.078274
-20.927232,14,2.089321
-33.648667,18,2.102206
-25.040842,15,2.11245
-23.857735,12,3.9618
-38.642682,24,3.978304
-28.759112,18,3.990513
-34.126481,19,4.003339
-34.377836,22,4.020026
-26.943779,14,4.029962
-22.174922,13,4.038939
-25.632691,11,4.046437
-40.895145,26,4.064016
-28.107209,14,4.073859
-23.810165,12,4.08182
-41.467978,21,4.09582
-27.97917,16,4.10665
-28.042567,17,4.121084
-30.617867,14,4.131432
-59.889556,29,4.151278
-25.870777,13,4.160157
-33.788822,16,4.171269
-37.090637,17,4.182602
-44.658555,25,4.19925
