#{"t_start": 1734962106.702678, "env_id": "Walker2d-v4"}
r,l,t
-53.139055,22,0.803156
-17.533908,12,0.811572
-40.207059,24,0.830861
-20.397495,11,0.83933
-17.224118,7,0.844253
-18.191831,11,0.851718
-30.522278,17,0.863636
-72.072982,30,0.885183
-34.692762,19,0.897955
-35.536235,15,0.90812
-42.177586,29,0.927739
-23.782189,14,0.937196
-22.985092,11,0.944357
-14.174087,10,0.951102
-31.198208,25,0.967439
-39.369542,17,0.978741
-58.347579,26,0.997943
-34.893611,28,1.017466
-16.169764,8,1.022877
-17.344506,12,1.030584
-38.861399,16,1.04161
-85.549951,38,1.066229
-17.908651,8,1.07152
-65.069365,37,1.097695
-29.445616,21,1.111734
-28.456751,16,1.122608
-31.398366,19,1.135099
-21.993029,12,1.142893
-37.5413,16,1.153472
-19.029481,11,1.16068
-58.054558,22,1.175324
-37.532027,18,1.187963
-50.927291,25,1.205464
-34.191706,19,1.218007
-40.157757,22,1.232694
-44.725814,21,1.247033
-30.666796,15,1.256542
-51.545234,31,1.276265
-17.926015,8,1.281604
-34.787978,19,1.295698
-24.970525,15,1.306035
-14.230869,9,1.311628
-37.619344,17,1.323025
-24.792488,17,1.33463
-21.912209,11,1.352814
-20.738898,13,1.362188
-88.945217,34,1.389103
-36.551725,18,1.402935
-25.823983,24,1.420104
-53.157321,27,1.438776
-28.917069,16,1.449726
-37.278144,22,1.4644
-27.701516,16,1.475691
-33.947401,16,1.487115
-34.252334,17,1.498188
-35.875271,14,1.508123
-36.334903,14,1.518412
-21.696147,11,1.52559
-97.698667,44,1.556525
-32.099794,15,1.566334
-21.695234,9,1.572227
-48.387562,26,1.589183
-21.008279,12,1.596784
-57.468696,24,1.613493
-38.716832,22,1.628967
-19.54148,10,1.636047
-30.258309,26,1.653251
-47.899263,24,1.668774
-21.314519,10,1.675547
-15.760345,12,1.684362
-32.717911,19,1.697979
-19.323214,11,1.706808
-41.114009,23,1.725321
-24.427898,15,1.735831
-36.226111,17,1.747175
-30.197552,16,1.758131
-31.820731,14,1.767184
-39.371544,21,1.78137
-108.413126,49,1.814122
-36.879033,19,1.827549
-71.535733,31,1.849147
-31.923523,18,1.861162
-31.932348,16,1.875398
-15.215457,12,1.886581
-29.853926,14,1.899843
-35.342194,22,1.918566
-46.906086,23,1.939004
-14.647797,11,1.946245
-31.743118,20,1.960035
-37.709274,22,1.975473
-57.445089,27,1.993222
-29.948012,16,2.003777
-66.782313,31,2.02535
-47.842151,20,2.039974
-42.177925,21,2.055276
-37.530042,24,2.070979
-55.51024,27,2.088611
-37.9154,19,2.101339
-27.043524,15,2.111491
-46.823752,20,2.124132
-20.651356,11,2.131108
-57.266799,29,2.152328
-24.669035,11,2.159827
-22.979803,9,2.166181
-22.68944,23,2.183883
-29.045812,16,2.1966
-35.952117,15,2.20839
-26.476763,14,2.218763
-13.170627,7,2.223847
-59.885118,26,4.082336
-12.357426,10,4.089203
-21.145037,9,4.095423
-39.231941,20,4.109066
-16.239436,10,4.115933
-35.192345,16,4.126651
-28.80999,14,4.137889
-44.821337,19,4.151375
-28.684166,16,4.162266
-31.501461,15,4.172446
-32.192824,17,4.183918
-38.245627,18,4.196382
-55.046109,25,4.21306
-20.77132,12,4.220958
-35.647263,20,4.235587
-15.121635,10,4.244448
-41.962837,22,4.260269
-19.913852,12,4.268575
-20.582762,11,4.276032
-25.512721,15,4.28636
-18.469485,9,4.292539
-22.232596,10,4.29915
-47.193726,23,4.314545
-41.833089,20,4.327965
-15.974038,10,4.33577
-33.290765,19,4.350396
-36.852522,18,4.362664
-40.631031,23,4.378115
-15.122479,10,4.385154
-37.544809,22,4.399933
-39.986524,21,4.414131
-34.734157,15,4.424416
-16.034591,8,4.42996
-41.715907,23,4.446327
-20.01647,8,4.45237
-19.650288,11,4.459931
-21.024047,14,4.470115
-19.923017,12,4.478489
-27.366918,13,4.48739
-29.281518,16,4.49808
-35.525753,18,4.510225
-32.473057,19,4.522844
-30.194996,14,4.532463
-26.801511,22,4.548085
-28.180198,13,4.557263
-29.826649,22,4.572413
-45.765975,24,4.588724
-37.166139,16,4.600209
-23.665124,13,4.608991
-27.629014,15,4.619064
-17.754437,10,4.625789
-19.148805,15,4.635833
-23.411537,11,4.643213
-19.817913,9,4.649328
-24.827579,17,4.662652
-38.882622,20,4.676744
-50.576794,23,4.692277
-15.67255,10,4.699043
-40.033898,21,4.713206
-25.858423,11,4.720659
-19.744,12,4.728722
-20.504635,12,4.736818
-35.532524,20,4.750077
-16.42223,10,4.757436
-25.24629,14,4.768077
-31.168288,12,4.776491
-52.38678,22,4.791507
-49.593533,24,4.807447
-30.479791,20,4.82077
-15.945831,9,4.826749
-23.071973,12,4.834589
-20.109017,13,4.843333
-16.832368,12,4.851669
-16.836489,12,4.859853
-17.203009,14,4.871858
-33.646357,15,4.88543
-49.762731,24,4.902289
-31.827011,20,4.915961
-36.476595,17,4.927581
-29.34322,13,4.936448
-45.929408,23,4.951884
-22.405698,12,4.959822
-24.908056,15,4.9708
-28.750127,15,4.982102
-22.315205,10,4.989248
-36.142149,18,5.001584
-26.293742,19,5.014215
-53.772963,24,5.031011
-21.789375,11,5.038569
-36.025083,19,5.051369
-33.810462,18,5.063461
-17.876085,11,5.07088
-18.929284,10,5.078676
-27.738713,14,5.088885
-20.487968,12,5.097155
-33.170922,22,5.112947
-31.885783,16,5.123782
-39.583435,24,5.140174
-35.700386,20,5.153415
-24.186519,17,5.165
-34.441141,23,5.180808
-18.456369,10,5.187706
-19.076377,7,5.193102
-40.731398,19,5.20642
-23.256432,11,5.213801
-26.246949,13,5.222669
-48.089052,20,5.236375
-31.39942,13,5.246469
-26.283414,15,5.256675
-35.484444,20,5.269934
-15.471873,9,5.27601
-30.730455,19,5.28961
-29.266555,14,5.300264
-16.415763,10,5.306986
-25.965186,16,5.317877
-44.380848,22,5.333249
-15.511888,10,5.340056
-27.843417,15,5.350997
-21.15995,10,5.358142
-43.014634,20,5.371552
-32.783951,16,5.382463
-38.825515,21,5.397424
-24.352512,16,5.40921
-23.037601,12,5.417688
-29.453881,15,5.427973
-47.450601,23,5.443541
-36.74475,17,5.455187
-21.447536,12,5.463247
-35.768197,22,5.478049
-31.72217,16,5.488444
-20.618554,10,5.495315
-24.887115,15,7.23211
-34.775128,27,7.251772
-16.691733,9,7.258629
-23.561786,11,7.267683
-19.308786,14,7.277804
-25.957123,13,7.287278
-23.429478,16,7.299522
-35.777889,19,7.312388
-18.789474,9,7.318285
-16.933426,10,7.324924
-21.965643,14,7.33423
-20.669517,16,7.34483
