#{"t_start": 1734962106.734921, "env_id": "Walker2d-v4"}
r,l,t
-45.483696,25,0.772946
-32.114517,18,0.785324
-31.915028,19,0.802053
-24.599884,15,0.812564
-24.084314,14,0.821977
-23.032321,11,0.829879
-44.41255,20,0.844042
-38.670856,20,0.858387
-15.129745,12,0.866456
-54.370266,30,0.886471
-25.523881,17,0.898142
-37.257786,17,0.909407
-26.713439,21,0.923421
-50.32686,25,0.939903
-22.119485,14,0.949909
-31.49716,18,0.962931
-60.211774,32,0.985179
-28.655358,17,0.996356
-33.554277,17,1.007853
-34.036215,17,1.01885
-38.36911,20,1.031838
-15.874472,10,1.038457
-16.628649,10,1.044878
-12.889667,11,1.05287
-25.602995,15,1.063929
-25.625342,13,1.072799
-65.618044,27,1.091002
-34.663219,15,1.100904
-49.419211,24,1.116538
-38.502377,21,1.130266
-60.008144,34,1.152746
-26.442273,11,1.161088
-34.136708,21,1.175873
-51.314308,19,1.188073
-31.603796,24,1.204408
-16.179912,10,1.211138
-30.418608,17,1.222494
-13.288277,9,1.228116
-18.679057,12,1.235765
-67.419923,28,1.253936
-27.966263,18,1.267451
-35.976736,20,1.280545
-36.782742,16,1.291409
-81.949711,46,1.334658
-34.116456,20,1.350754
-41.97587,20,1.364761
-17.261747,10,1.373238
-14.054375,9,1.379659
-43.572911,25,1.397214
-43.542996,21,1.411761
-70.753268,34,1.435155
-20.264257,10,1.441991
-35.559634,22,1.457369
-15.616215,10,1.463958
-39.660967,20,1.477725
-21.458796,12,1.486712
-38.544107,21,1.501102
-25.029102,19,1.514927
-53.8141,28,1.533356
-19.393875,11,1.540552
-24.880283,14,1.54972
-22.54901,12,1.557404
-63.949193,29,1.57617
-38.267271,18,1.589794
-25.019533,14,1.599284
-37.313856,23,1.614988
-56.372563,22,1.629189
-54.693056,24,1.645937
-39.241165,22,1.661166
-64.678106,34,1.687902
-15.701272,8,1.694366
-24.241931,17,1.706085
-39.404974,25,1.723071
-31.289664,16,1.733678
-34.158044,19,1.746235
-41.057366,19,1.758832
-34.333888,16,1.76977
-43.90508,25,1.786359
-45.225922,22,1.803083
-26.623438,16,1.813533
-18.553048,8,1.818811
-64.030317,29,1.840898
-27.825415,20,1.859672
-28.731128,19,1.877549
-16.37111,12,1.886889
-24.364877,14,1.900449
-23.000305,13,1.910064
-21.641141,12,1.918443
-60.74792,26,1.936212
-46.588517,20,1.949647
-40.503958,21,1.963342
-26.087139,15,1.97345
-43.685105,25,1.991205
-31.421343,21,2.006218
-33.80417,17,2.018718
-51.969272,23,2.034202
-80.085881,32,2.055072
-43.913404,22,2.069747
-15.45496,10,2.076387
-26.288775,20,2.089499
-26.984756,15,2.09898
-25.344109,16,2.109596
-30.346073,21,2.125504
-25.422148,23,2.142277
-24.055686,10,2.15008
-26.606016,14,2.160851
-17.737227,12,2.170397
-31.505271,14,2.182075
-14.412921,10,2.188673
-34.847287,18,4.040836
-18.258321,11,4.04928
-29.843834,17,4.061076
-19.288268,10,4.067928
-18.115896,12,4.076007
-38.886968,20,4.089617
-13.975438,7,4.094225
-43.039186,22,4.111333
-29.216186,13,4.12042
-25.239667,12,4.128578
-52.138575,30,4.148902
-19.217855,9,4.15524
-35.767721,20,4.168772
-19.514338,13,4.177349
-16.848472,9,4.183451
-19.269185,14,4.19286
-27.800992,18,4.206291
-45.74878,24,4.225103
-27.927231,15,4.235555
-21.796242,12,4.243639
-86.908424,38,4.269504
-16.255039,10,4.276092
-24.891909,12,4.284195
-24.979374,14,4.293647
-37.856129,15,4.304798
-31.808707,16,4.317296
-43.808447,25,4.334325
-29.489226,12,4.342401
-26.618326,15,4.352726
-43.588341,26,4.370544
-41.708624,20,4.383956
-49.500545,26,4.40169
-49.007507,22,4.417902
-13.252439,9,4.424344
-25.5323,13,4.433477
-15.555638,9,4.439833
-42.518937,24,4.456376
-20.898303,13,4.465005
-60.625537,27,4.483186
-34.773928,19,4.495975
-33.607802,22,4.510769
-25.951373,14,4.520851
-16.278157,10,4.528475
-38.523633,21,4.542974
-37.227938,29,4.563085
-16.818663,9,4.569274
-52.718156,27,4.587412
-25.183318,16,4.598124
-26.896608,22,4.612986
-86.393583,43,4.644392
-15.150996,7,4.649166
-20.4103,11,4.656581
-23.707629,13,4.665295
-49.086851,24,4.681593
-13.988013,8,4.687003
-23.790751,12,4.694993
-18.917184,9,4.70105
-35.939475,19,4.713723
-20.671105,12,4.721721
-33.076607,17,4.734987
-39.094522,21,4.749651
-14.68262,13,4.758483
-46.819703,25,4.775183
-30.688449,15,4.785308
-14.779937,10,4.791825
-41.325334,22,4.806174
-20.210513,12,4.814417
-21.012303,16,4.825504
-22.517607,17,4.83943
-35.694614,19,4.856
-28.814677,16,4.867394
-18.556284,10,4.874089
-53.676419,75,4.924764
-21.017358,14,4.934276
-51.157716,21,4.950749
-27.81939,20,4.964369
-13.866264,9,4.970589
-21.515025,9,4.976669
-30.70251,16,4.987752
-20.061744,12,4.995933
-45.207373,21,5.01028
-41.910425,19,5.023018
-15.10728,11,5.030398
-17.001982,10,5.037126
-36.442588,17,5.049933
-31.601791,14,5.060108
-28.649585,14,5.070541
-25.81049,13,5.079284
-33.45661,18,5.091501
-30.752308,16,5.102313
-38.877967,19,5.115069
-37.954784,19,5.127843
-18.160823,8,5.133319
-33.600173,22,5.148496
-30.910692,23,5.165007
-20.54907,11,5.172791
-20.622769,12,5.180811
-45.961882,26,5.198574
-16.992523,10,5.205311
-16.418624,10,5.213252
-24.328326,11,5.221032
-16.323571,10,5.227681
-16.358935,9,5.233738
