#{"t_start": 1734962106.8449101, "env_id": "Walker2d-v4"}
r,l,t
-21.624439,11,0.652896
-17.676671,14,0.663084
-39.530403,21,0.677791
-41.629643,21,0.695844
-31.247671,13,0.704701
-40.415652,23,0.720617
-41.605712,21,0.735416
-52.463416,24,0.752535
-46.564418,26,0.769772
-27.959775,15,0.780017
-43.676354,24,0.796306
-17.827755,10,0.802802
-28.460171,19,0.815424
-35.820455,20,0.828567
-37.471624,20,0.842651
-40.730205,21,0.858129
-19.560514,14,0.867801
-36.854429,18,0.879938
-25.569903,14,0.889042
-48.938503,29,0.908302
-41.081483,22,0.922705
-13.856904,8,0.927774
-54.534475,28,0.947021
-47.183816,26,0.965584
-58.968104,32,0.98692
-44.585708,23,1.002175
-34.170068,21,1.015658
-21.17975,10,1.022379
-40.805131,22,1.036931
-21.332389,15,1.047968
-27.992711,16,1.059315
-18.847953,13,1.06801
-33.600736,19,1.080096
-22.671872,13,1.089239
-20.467151,10,1.095894
-25.147262,16,1.106862
-34.840049,20,1.119637
-50.60004,25,1.135528
-14.990492,8,1.140798
-30.934388,19,1.154736
-80.886477,40,1.181604
-28.992869,14,1.190927
-49.352668,28,1.221581
-22.393887,13,1.23269
-58.267652,28,1.252848
-38.134681,24,1.271078
-23.554553,13,1.280616
-28.88966,14,1.290134
-30.228999,14,1.29992
-32.337129,19,1.312875
-32.241218,20,1.326504
-16.110802,11,1.334166
-26.859568,18,1.346804
-77.572712,33,1.369381
-46.362343,30,1.390563
-43.393928,21,1.405826
-33.91173,17,1.416851
-25.62126,14,1.42606
-72.356099,35,1.448883
-62.640537,27,1.4663
-19.688547,11,1.474794
-45.275623,23,1.49108
-26.526047,15,1.500985
-46.878636,25,1.517406
-63.3957,32,1.539622
-23.749703,14,1.548987
-23.694581,13,1.558715
-46.9284,24,1.578027
-41.558634,21,1.593633
-16.719053,11,1.601061
-30.436315,19,1.613875
-16.727032,9,1.619828
-23.654012,14,1.628936
-53.271123,21,1.643045
-28.533558,15,1.652945
-18.495337,11,1.66063
-33.746741,18,1.672522
-15.22398,11,1.68053
-15.342096,9,1.686885
-23.987237,13,1.69634
-63.16489,32,1.717607
-34.295073,18,1.733297
-22.657312,17,1.74909
-31.029102,15,1.762821
-26.219027,18,1.777723
-32.30258,15,1.79277
-31.554757,15,1.802673
-53.450645,26,1.820418
-32.135264,13,1.829639
-86.684629,37,1.854097
-47.301384,22,1.868887
-43.167504,24,1.885914
-17.919934,10,1.893849
-51.732046,23,1.91036
-61.937071,27,1.928137
-45.048289,24,1.943933
-16.347908,8,1.949069
-40.303254,17,1.96056
-36.620746,17,1.971838
-39.535004,31,1.991554
-19.119062,13,2.000368
-31.306359,18,2.014225
-21.991181,10,2.021121
-26.067927,11,2.029192
-24.323367,14,2.040215
-25.243121,12,2.049467
-33.751806,19,2.064449
-52.626184,24,2.082353
-32.742331,18,3.934865
-17.064007,10,3.942382
-13.109373,8,3.947794
-15.844282,7,3.952574
-36.073536,18,3.964775
-38.780664,16,3.975729
-35.353687,23,3.99203
-41.054475,21,4.007731
-54.046802,29,4.027534
-10.788057,8,4.03292
-41.958838,23,4.048708
-39.618623,19,4.061504
-15.890297,12,4.069535
-14.534352,8,4.074941
-25.677248,13,4.083719
-34.85372,20,4.10016
-27.905122,13,4.109809
-60.156004,30,4.130392
-21.135866,9,4.13653
-39.152172,20,4.150364
-18.125577,11,4.157636
-51.918529,26,4.175011
-20.729405,9,4.181098
-40.866537,20,4.196026
-33.906857,19,4.210304
-35.553345,20,4.223822
-30.478725,13,4.232465
-13.820128,9,4.238732
-25.054847,14,4.248258
-23.865655,17,4.260036
-30.493822,16,4.270566
-18.236364,11,4.277966
-22.648334,20,4.291758
-23.087726,13,4.301397
