#{"t_start": 1734962106.8240829, "env_id": "Walker2d-v4"}
r,l,t
-16.932456,13,7.315963
-36.110749,21,7.330252
-18.030506,10,7.336989
-37.754232,18,7.348917
-32.376172,22,7.36361
-16.604718,13,7.373285
-30.506249,17,7.385849
-18.720324,12,7.394511
-24.474485,16,7.405076
-14.060533,7,7.40992
-25.237556,13,7.418884
-16.099794,11,7.426181
-15.930873,9,7.432284
-20.200002,10,7.438973
-18.996046,12,7.446762
-29.163172,14,7.455926
-28.577728,16,7.466608
-15.60357,10,7.47329
-18.5502,10,7.480854
-20.887959,11,7.488827
-44.449855,23,7.504661
-17.995575,12,7.513036
-21.160644,13,7.521978
-19.645112,9,7.528183
-21.023329,12,7.535874
-20.659625,11,7.543125
-35.02618,19,7.555864
-32.23647,20,7.568982
-17.676353,10,7.575556
-27.923509,18,7.588673
-23.095141,10,7.59681
-26.001916,16,7.607934
-27.8542,21,7.621996
-17.528933,13,7.630856
-29.933656,17,7.642324
-48.658746,23,7.657701
-27.568815,16,7.668441
-19.681263,11,7.676055
-21.395921,14,7.68527
-16.929616,11,7.693541
-13.881212,8,7.699715
-21.825066,15,7.710199
-37.829786,18,7.722902
-17.7211,10,7.764852
-15.005648,8,7.771368
-21.864202,14,7.78111
-20.769237,10,7.787861
-30.729185,13,7.798067
-25.47541,14,7.807636
-21.43827,16,7.819133
-14.733158,8,7.824576
-27.267934,17,7.836992
-19.07051,11,7.844389
-47.263641,23,7.859945
-26.538664,13,7.868557
-21.37357,15,7.878446
-38.644443,21,7.892543
-17.320463,10,7.899214
-18.489241,9,7.906162
-22.451592,14,7.916733
-47.357928,28,7.935835
-17.698422,12,7.943895
-28.054964,20,7.957032
-18.133372,14,7.966529
-17.542624,10,7.973173
-25.347321,14,7.98244
-18.145949,11,7.9899
-15.271614,10,7.996556
-27.751161,18,8.009274
-20.968055,13,8.018659
-36.684276,16,8.029906
-17.45246,13,8.038674
-14.21536,10,8.045492
-17.97676,9,8.051619
-15.157729,13,8.060399
-20.313231,12,8.068492
-17.028805,9,8.074556
-14.726818,9,8.081253
-25.691106,13,8.090054
-14.310393,9,8.0958
-17.758522,10,8.102559
-15.84041,10,8.109334
-33.719708,23,8.126923
-27.584027,20,8.14066
-18.419876,13,8.149396
-17.815362,10,8.15617
-51.146471,24,8.171944
-12.924245,8,8.177195
-15.113083,11,8.184552
-31.538706,15,8.194512
-17.36066,10,8.201125
-16.495619,9,8.207049
-21.226484,12,8.215297
-15.868086,8,8.221471
-19.185834,13,8.231537
-29.493902,17,8.243056
-14.561884,8,8.248818
-18.067448,9,8.254803
-31.794041,13,8.263425
-13.997524,9,8.269446
-18.800433,9,8.275374
-21.994378,12,8.283612
-37.964593,19,8.296119
-24.485632,15,8.306083
-18.014462,13,8.314797
-24.639034,15,8.325703
-50.922872,19,8.338727
-22.742833,10,8.345873
-24.997244,13,8.354673
-27.739055,21,8.368899
-16.358556,11,8.376021
-17.052133,12,8.384299
-20.829736,10,8.390858
-19.135111,11,8.398132
-41.213518,24,8.414019
-27.063246,17,8.42558
-28.103548,14,8.435704
-14.788225,10,8.443133
-37.982251,21,8.457866
-26.709417,20,8.471305
-19.472038,13,8.480101
-23.156823,12,8.487984
-16.831533,8,8.493493
-28.789988,16,8.504342
-18.083954,11,8.511535
-15.78257,13,8.52001
-31.616733,20,8.534181
-20.407101,12,8.543083
-22.416048,11,10.16476
-21.018886,14,10.174979
-28.751145,14,10.184295
-16.343827,9,10.190312
-19.642803,10,10.197153
-16.754823,12,10.204887
-20.80258,10,10.212585
-19.141003,10,10.220433
-14.50523,7,10.225681
-17.465321,11,10.234429
-15.656852,8,10.240335
-17.689813,11,10.24825
-12.781997,8,10.254583
-22.936898,11,10.262255
-13.178577,7,10.266863
-22.905485,15,10.277011
-15.041204,8,10.282498
-17.759556,9,10.288499
-22.844822,11,10.295835
-19.719156,12,10.305491
-17.986553,11,10.312758
-25.419203,14,10.32241
-22.322673,11,10.33025
-16.488748,13,10.339505
-18.385787,11,10.347402
-15.314511,8,10.352864
-14.406514,8,10.358279
-17.509073,9,10.364412
-17.383363,10,10.371119
