#{"t_start": 1734960304.3287501, "env_id": "Walker2d-v4"}
r,l,t
1271.54278,489,0.771316
664.783279,263,0.857596
1559.030105,595,1.056902
733.26101,297,1.153448
2000.731342,775,2.987879
2651.978467,1000,3.32066
861.908323,325,3.437157
1260.049939,494,5.139668
529.179589,220,5.220091
576.257055,243,5.305322
2647.820471,1000,5.667633
2507.830535,1000,7.515143
1564.194388,577,7.705559
2565.724074,1000,9.537615
1149.094444,478,9.749599
1945.585434,752,10.054073
2427.084235,1000,12.739932
539.207974,213,12.82034
1988.783803,759,13.069563
1868.750779,698,13.301173
1161.845132,468,15.232409
1509.236744,581,15.452228
2549.146582,1000,15.805707
2212.956964,832,18.311618
281.652771,130,18.373936
591.929552,261,18.491471
1025.913832,409,18.63111
2633.408903,1000,20.927057
2270.652093,838,21.208405
1822.267042,705,21.453281
2649.074716,1000,23.359416
926.756691,361,23.50863
1260.710301,474,24.552012
2658.047872,1000,28.02938
557.539363,225,28.120751
826.965209,344,28.288693
981.069023,407,28.441698
2744.640221,1000,30.951765
1977.701075,800,31.241959
1279.98335,477,31.410823
418.261165,171,33.025214
2660.835757,1000,33.370579
2628.691265,1000,35.389444
2517.439187,1000,35.753689
995.336975,386,35.889687
1006.628738,385,36.020374
2641.412101,1000,37.926324
1587.230242,654,39.013646
565.618832,220,39.090796
1092.471174,432,40.87497
707.728467,301,40.986155
1930.70054,760,41.243581
288.458796,134,41.287382
661.75208,264,41.373155
272.319825,124,41.417206
711.205942,290,41.511904
443.835744,185,43.460654
2388.774404,902,43.807198
1307.135093,495,43.979227
2637.221797,1000,46.28632
2682.877053,1000,46.653617
971.042101,394,46.782023
825.481361,344,48.485747
2634.563003,1000,48.835885
597.706087,236,48.913619
1901.997483,683,49.143039
2663.448467,1000,51.064753
1627.396337,618,52.064823
989.119509,367,52.184251
2691.094149,1000,54.541472
601.812115,232,54.634142
520.15706,205,54.722959
773.018578,298,54.847774
1093.671472,410,55.034284
1504.797514,574,57.734254
2050.990949,754,58.036067
2033.544993,808,60.237789
2661.809582,1000,60.621285
1433.699661,537,60.815742
2690.257294,1000,63.02744
1943.543946,697,63.284622
2680.854595,1000,65.493513
1788.781885,660,66.48756
883.778566,315,66.622729
247.206137,117,66.672698
678.965271,251,66.776027
2704.171763,1000,69.215404
2739.524907,1000,69.54703
707.597052,272,69.635773
2743.243065,1000,71.860847
1447.175917,533,72.035315
623.000668,242,72.112695
527.742373,225,72.185693
484.626778,200,72.250926
760.385122,291,74.302889
2599.690004,1000,74.70279
2685.561363,1000,76.895584
709.547903,277,77.00042
2744.973405,996,77.875224
641.061484,247,77.969182
788.620431,320,78.096321
2682.188616,1000,81.201839
693.843589,271,81.311547
555.496544,213,81.392514
916.107082,340,81.519861
686.707489,264,81.617155
769.514992,290,83.489753
2529.434341,923,83.799241
1669.298102,604,84.043752
1808.484923,694,86.072855
1927.279089,736,86.3278
2708.511669,1000,88.238287
1219.726085,441,88.403766
937.041262,343,88.527061
664.99239,263,88.617094
1157.069002,433,88.766401
1829.803605,674,90.582186
2129.696763,789,90.862951
1727.496011,636,91.079687
1540.940582,573,92.995018
891.007299,335,93.967715
2564.282326,920,94.426111
528.067861,210,94.52001
704.389311,273,94.620402
597.496759,236,96.319378
1777.219456,651,96.573689
2750.665516,1000,96.910453
2743.935509,1000,99.125904
2713.180356,1000,99.552023
1842.21752,682,101.722683
1331.885607,493,101.912439
2612.453129,1000,102.318294
136.721344,85,102.350301
1403.783652,536,104.446963
2756.760071,1000,104.812459
985.730671,378,104.971803
1818.371919,651,108.067247
2844.220013,1000,108.464221
2812.246129,1000,110.597221
2822.942606,1000,110.968822
570.170375,218,111.04716
1366.406082,500,111.228093
2598.97372,957,113.186922
1463.664358,506,113.362662
987.800375,361,113.491277
609.153344,235,113.57075
587.262213,228,115.274712
661.562269,274,115.381339
1169.056236,452,115.542502
753.994975,286,115.635786
2822.689088,1000,117.882779
382.488202,165,117.950577
490.055953,201,118.035227
635.044846,241,118.130406
1177.53822,458,118.306287
1226.035903,452,118.476554
1698.175795,610,121.42926
519.437894,206,121.521349
1448.932146,501,121.719651
548.324991,211,121.805712
1227.438291,450,121.98588
632.436779,243,122.078856
1745.58828,634,124.539487
1131.588202,411,124.697165
1334.124221,491,124.895408
2754.643217,1000,127.259812
667.35307,252,127.360173
2684.209504,957,127.721293
478.58795,192,127.788672
716.740238,274,127.880606
2007.204879,697,130.18854
1100.365842,394,130.340935
429.785817,179,130.421781
1257.121579,453,130.609347
697.822761,271,130.763962
586.341442,232,132.920104
2703.238709,1000,133.277346
405.599364,175,133.339612
2717.123266,1000,136.796777
560.556814,225,136.893568
923.399837,340,137.026255
595.267462,230,137.120453
2709.140543,1000,137.54497
1507.585678,556,139.96829
