#{"t_start": 1734960304.3287098, "env_id": "Walker2d-v4"}
r,l,t
1026.108101,410,0.74582
2169.252568,807,1.014597
764.833624,285,1.106205
826.33567,301,1.243466
1309.808302,504,2.945979
1278.2276,477,3.114084
781.179836,297,3.210039
2391.841918,936,3.525084
2141.052613,809,5.347788
2581.854971,1000,5.70827
2611.044914,1000,7.557571
1788.388561,701,7.787067
775.599523,289,7.881292
1161.992368,432,9.526303
2479.629123,919,9.935264
654.12283,254,10.023349
1374.220308,607,11.072584
1709.694611,677,12.814121
2594.971595,1000,13.147089
691.560275,282,13.239898
548.778031,236,13.317398
2514.725821,1000,15.450657
447.133359,210,15.523573
1259.189375,527,15.717195
1679.026022,638,18.094065
1272.326485,501,18.32927
460.411846,196,18.423889
2634.824109,1000,18.781125
2589.813514,1000,21.071624
1486.422386,578,21.270637
2486.749126,964,23.130615
729.65932,289,23.232401
1968.172981,730,23.549486
932.132579,364,24.54628
2583.262883,1000,28.022955
370.093123,162,28.090164
1395.461592,522,28.324338
735.220213,303,28.439198
1243.6681,468,30.757568
276.068221,131,30.804766
2485.065427,956,31.156021
1467.556799,572,31.360352
2551.415303,1000,33.260697
922.714433,358,33.381286
2527.611975,1000,35.402292
304.746739,137,35.456982
775.536292,309,35.57792
465.771138,194,35.641873
814.898427,320,35.750696
1084.847831,422,35.898545
939.574498,364,36.022674
2029.324402,752,37.847112
626.987472,249,37.92872
2565.949609,1000,39.134458
110.178355,69,39.158725
1320.060164,502,40.975561
481.506897,208,41.054019
2413.979023,1000,41.380071
752.002389,303,41.483087
1935.115138,743,43.649489
2565.312163,1000,44.002708
1076.113072,415,44.145045
2204.225802,821,46.405838
764.49272,293,46.512978
2571.67462,1000,46.849551
136.360703,78,48.462501
749.107963,292,48.570536
1644.15471,651,48.797089
1920.450724,760,49.051363
754.117,298,49.151184
1478.964347,559,50.927023
1312.615034,502,51.091546
607.088856,233,51.966504
2255.509077,857,54.208433
278.653332,129,54.263952
2713.982878,1000,54.671881
528.301859,206,54.758591
574.582604,224,54.852865
1925.315428,723,57.626277
914.547439,326,57.776214
2522.172637,929,58.128096
2620.544235,1000,60.417153
2334.977902,842,60.725246
2326.563996,853,62.87004
1654.633645,624,63.111225
479.375217,193,63.182759
1403.15599,521,63.374158
2661.02615,1000,65.590405
490.558109,204,65.669719
668.50676,263,66.509294
596.68615,229,66.606915
2524.000844,916,69.029847
2669.09771,1000,69.388777
687.374427,256,69.4724
245.093811,119,69.510398
626.18981,271,69.598683
364.504086,155,69.649394
1252.994277,444,71.671909
2694.722141,1000,72.018772
693.561924,261,72.103247
838.289781,306,72.202552
2683.508123,1000,74.536713
1036.083988,359,74.665517
1374.466284,501,74.874051
422.029002,180,74.97062
2642.810414,1000,77.311044
1069.924245,397,77.770468
2111.308952,773,78.068988
1128.146426,450,80.099558
564.162822,227,80.184854
807.858186,317,81.173546
2118.68172,758,81.467567
735.876613,288,81.574719
589.207276,225,83.413
686.31184,266,83.519824
680.868522,255,83.611155
1390.429431,520,83.778689
593.688011,229,83.85309
1976.71662,727,85.916657
1958.206173,716,86.1834
704.714713,268,86.275655
2678.333854,1000,86.605358
798.162441,292,88.288686
1129.83005,410,88.437565
1875.908655,667,88.674608
2704.622668,1000,90.602854
1947.343763,733,90.86343
573.055982,235,90.941224
424.272273,179,91.003632
935.371533,352,91.125258
2725.005656,1000,94.093606
867.68237,311,94.245634
1344.737245,477,94.469522
567.92454,218,94.556817
535.457237,212,94.633867
436.747241,178,96.311104
405.114557,166,96.377668
85.828404,58,96.40104
528.190703,212,96.483187
2697.682597,1000,96.832029
859.342414,308,96.93559
1769.769832,631,98.99049
650.111163,244,99.103772
446.523602,183,99.183716
561.016934,219,99.27718
2686.021909,1000,99.697117
629.061692,236,101.6846
1143.458572,413,101.844817
749.9159,286,101.957107
1357.680925,510,102.168678
543.330665,211,102.249098
